-50000.00 0.00 55559.75 2150.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1481.2889  1031.8488 34.3964 3.8308
-50000.00 980.00 1481.3240  1031.9032 34.4013 3.7975
-50000.00 990.00 1481.3591  1031.9575 34.4061 3.7641
-50000.00 1000.00 1481.3942  1032.0118 34.4110 3.7308
-50000.00 1010.00 1481.4383  1032.0658 34.4157 3.6996
-50000.00 1020.00 1481.5047  1032.1188 34.4203 3.6739
-50000.00 1030.00 1481.5712  1032.1719 34.4248 3.6482
-50000.00 1040.00 1481.6376  1032.2250 34.4293 3.6225
-50000.00 1050.00 1481.7040  1032.2780 34.4338 3.5968
-50000.00 1060.00 1481.7705  1032.3311 34.4383 3.5711
-50000.00 1070.00 1481.8369  1032.3841 34.4428 3.5454
-50000.00 1080.00 1481.9034  1032.4372 34.4473 3.5197
-50000.00 1090.00 1481.9698  1032.4903 34.4518 3.4940
-50000.00 1100.00 1482.0363  1032.5433 34.4563 3.4683
-50000.00 1110.00 1482.1104  1032.5959 34.4605 3.4446
-50000.00 1120.00 1482.1955  1032.6477 34.4642 3.4236
-50000.00 1130.00 1482.2806  1032.6995 34.4679 3.4025
-50000.00 1140.00 1482.3657  1032.7513 34.4717 3.3815
-50000.00 1150.00 1482.4509  1032.8031 34.4754 3.3605
-50000.00 1160.00 1482.5360  1032.8549 34.4791 3.3395
-50000.00 1170.00 1482.6211  1032.9068 34.4828 3.3185
-50000.00 1180.00 1482.7063  1032.9586 34.4865 3.2975
-50000.00 1190.00 1482.7914  1033.0104 34.4902 3.2764
-50000.00 1200.00 1482.8765  1033.0622 34.4939 3.2554
-50000.00 1210.00 1482.9651  1033.1136 34.4973 3.2353
-50000.00 1220.00 1483.0581  1033.1645 34.5002 3.2164
-50000.00 1230.00 1483.1511  1033.2155 34.5032 3.1975
-50000.00 1240.00 1483.2440  1033.2664 34.5061 3.1785
-50000.00 1250.00 1483.3370  1033.3173 34.5091 3.1596
-50000.00 1260.00 1483.4299  1033.3682 34.5120 3.1407
-50000.00 1270.00 1483.5229  1033.4191 34.5150 3.1217
-50000.00 1280.00 1483.6159  1033.4701 34.5179 3.1028
-50000.00 1290.00 1483.7088  1033.5210 34.5209 3.0839
-50000.00 1300.00 1483.8018  1033.5719 34.5238 3.0649
-50000.00 1310.00 1483.8962  1033.6226 34.5266 3.0464
-50000.00 1320.00 1483.9930  1033.6729 34.5290 3.0285
