-50000.00 0.00 55559.75 4620.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 463                           #nx nz
-50000.00 0.00 1542.9549  1022.9326 35.8657 28.3456
-50000.00 10.00 1543.0969  1022.9814 35.8671 28.3316
-50000.00 20.00 1543.2283  1023.0351 35.8722 28.3107
-50000.00 30.00 1543.3024  1023.1069 35.8874 28.2580
-50000.00 40.00 1543.2719  1023.2070 35.9158 28.1501
-50000.00 50.00 1543.1270  1023.3353 35.9564 27.9835
-50000.00 60.00 1542.8893  1023.4865 36.0070 27.7701
-50000.00 70.00 1542.5743  1023.6585 36.0687 27.5172
-50000.00 80.00 1542.1521  1023.8535 36.1396 27.2132
-50000.00 90.00 1541.5718  1024.0723 36.2134 26.8401
-50000.00 100.00 1540.7852  1024.3132 36.2824 26.3831
-50000.00 110.00 1539.7947  1024.5628 36.3341 25.8526
-50000.00 120.00 1538.7065  1024.7965 36.3590 25.3018
-50000.00 130.00 1537.6603  1024.9970 36.3583 24.7895
-50000.00 140.00 1536.7242  1025.1637 36.3399 24.3384
-50000.00 150.00 1535.9017  1025.2978 36.3052 23.9491
-50000.00 160.00 1535.0514  1025.4237 36.2604 23.5577
-50000.00 170.00 1534.1787  1025.5430 36.2072 23.1644
-50000.00 180.00 1533.0731  1025.6661 36.1338 22.6977
-50000.00 190.00 1531.8940  1025.7903 36.0540 22.2078
-50000.00 200.00 1530.4348  1025.9249 35.9601 21.6306
-50000.00 210.00 1528.7237  1026.0689 35.8535 20.9748
-50000.00 220.00 1527.0127  1026.2129 35.7470 20.3190
-50000.00 230.00 1524.9912  1026.3660 35.6382 19.5856
-50000.00 240.00 1522.8544  1026.5226 35.5285 18.8235
-50000.00 250.00 1520.7176  1026.6792 35.4188 18.0613
-50000.00 260.00 1518.5794  1026.8332 35.3155 17.3110
-50000.00 270.00 1516.4370  1026.9794 35.2312 16.5956
-50000.00 280.00 1514.2946  1027.1256 35.1468 15.8801
-50000.00 290.00 1512.1523  1027.2717 35.0624 15.1647
-50000.00 300.00 1510.0126  1027.4177 34.9783 14.4503
-50000.00 310.00 1508.2535  1027.5393 34.9284 13.8914
-50000.00 320.00 1506.4944  1027.6609 34.8786 13.3324
-50000.00 330.00 1504.7353  1027.7824 34.8288 12.7735
-50000.00 340.00 1502.9762  1027.9040 34.7789 12.2146
-50000.00 350.00 1501.2171  1028.0255 34.7291 11.6556
-50000.00 360.00 1499.9938  1028.1230 34.7048 11.2712
-50000.00 370.00 1498.8095  1028.2186 34.6823 10.8996
-50000.00 380.00 1497.6253  1028.3143 34.6599 10.5279
-50000.00 390.00 1496.4411  1028.4100 34.6375 10.1563
-50000.00 400.00 1495.2569  1028.5057 34.6150 9.7846
-50000.00 410.00 1494.0766  1028.6012 34.5927 9.4141
-50000.00 420.00 1493.4523  1028.6761 34.5857 9.2040
-50000.00 430.00 1492.8280  1028.7509 34.5788 8.9940
-50000.00 440.00 1492.2036  1028.8258 34.5718 8.7840
-50000.00 450.00 1491.5793  1028.9007 34.5649 8.5739
-50000.00 460.00 1490.9550  1028.9755 34.5579 8.3639
-50000.00 470.00 1490.3307  1029.0504 34.5510 8.1539
-50000.00 480.00 1489.7870  1029.1223 34.5452 7.9660
-50000.00 490.00 1489.4814  1029.1852 34.5429 7.8434
-50000.00 500.00 1489.1757  1029.2481 34.5407 7.7209
-50000.00 510.00 1488.8701  1029.3111 34.5384 7.5983
-50000.00 520.00 1488.5645  1029.3740 34.5361 7.4758
-50000.00 530.00 1488.2588  1029.4369 34.5339 7.3533
-50000.00 540.00 1487.9532  1029.4999 34.5316 7.2307
-50000.00 550.00 1487.6476  1029.5628 34.5294 7.1082
-50000.00 560.00 1487.4276  1029.6222 34.5276 7.0091
-50000.00 570.00 1487.2395  1029.6802 34.5261 6.9189
-50000.00 580.00 1487.0515  1029.7382 34.5246 6.8286
-50000.00 590.00 1486.8634  1029.7962 34.5231 6.7383
-50000.00 600.00 1486.6753  1029.8542 34.5215 6.6480
-50000.00 610.00 1486.4872  1029.9122 34.5200 6.5577
-50000.00 620.00 1486.2991  1029.9702 34.5185 6.4674
-50000.00 630.00 1486.1111  1030.0282 34.5169 6.3771
-50000.00 640.00 1485.9567  1030.0849 34.5158 6.2960
-50000.00 650.00 1485.8327  1030.1406 34.5149 6.2231
-50000.00 660.00 1485.7088  1030.1962 34.5140 6.1502
-50000.00 670.00 1485.5848  1030.2519 34.5132 6.0773
-50000.00 680.00 1485.4608  1030.3075 34.5123 6.0043
-50000.00 690.00 1485.3368  1030.3632 34.5114 5.9314
-50000.00 700.00 1485.2129  1030.4188 34.5106 5.8585
-50000.00 710.00 1485.0889  1030.4745 34.5097 5.7856
-50000.00 720.00 1484.9649  1030.5301 34.5089 5.7127
-50000.00 730.00 1484.8801  1030.5847 34.5086 5.6501
-50000.00 740.00 1484.8077  1030.6388 34.5085 5.5907
-50000.00 750.00 1484.7354  1030.6930 34.5084 5.5313
-50000.00 760.00 1484.6630  1030.7471 34.5084 5.4719
-50000.00 770.00 1484.5906  1030.8013 34.5083 5.4125
-50000.00 780.00 1484.5182  1030.8554 34.5082 5.3531
-50000.00 790.00 1484.4458  1030.9096 34.5081 5.2937
-50000.00 800.00 1484.3734  1030.9637 34.5081 5.2343
-50000.00 810.00 1484.3010  1031.0179 34.5080 5.1749
-50000.00 820.00 1484.2504  1031.0715 34.5083 5.1211
-50000.00 830.00 1484.2173  1031.1247 34.5089 5.0717
-50000.00 840.00 1484.1842  1031.1778 34.5094 5.0224
-50000.00 850.00 1484.1511  1031.2310 34.5100 4.9731
-50000.00 860.00 1484.1180  1031.2841 34.5106 4.9237
-50000.00 870.00 1484.0849  1031.3373 34.5112 4.8744
-50000.00 880.00 1484.0518  1031.3905 34.5118 4.8251
-50000.00 890.00 1484.0187  1031.4436 34.5123 4.7757
-50000.00 900.00 1483.9856  1031.4968 34.5129 4.7264
-50000.00 910.00 1483.9532  1031.5499 34.5135 4.6773
-50000.00 920.00 1483.9482  1031.6024 34.5145 4.6350
-50000.00 930.00 1483.9431  1031.6549 34.5156 4.5928
-50000.00 940.00 1483.9381  1031.7074 34.5166 4.5505
-50000.00 950.00 1483.9330  1031.7599 34.5177 4.5083
-50000.00 960.00 1483.9280  1031.8124 34.5187 4.4661
-50000.00 970.00 1483.9229  1031.8649 34.5198 4.4238
-50000.00 980.00 1483.9179  1031.9174 34.5208 4.3816
-50000.00 990.00 1483.9128  1031.9699 34.5219 4.3393
-50000.00 1000.00 1483.9078  1032.0223 34.5229 4.2971
-50000.00 1010.00 1483.9082  1032.0747 34.5240 4.2563
-50000.00 1020.00 1483.9226  1032.1267 34.5253 4.2189
-50000.00 1030.00 1483.9369  1032.1786 34.5266 4.1816
-50000.00 1040.00 1483.9512  1032.2306 34.5278 4.1442
-50000.00 1050.00 1483.9656  1032.2826 34.5291 4.1069
-50000.00 1060.00 1483.9799  1032.3345 34.5304 4.0695
-50000.00 1070.00 1483.9942  1032.3865 34.5317 4.0322
-50000.00 1080.00 1484.0086  1032.4385 34.5329 3.9948
-50000.00 1090.00 1484.0229  1032.4904 34.5342 3.9575
-50000.00 1100.00 1484.0372  1032.5424 34.5355 3.9201
-50000.00 1110.00 1484.0580  1032.5942 34.5368 3.8844
-50000.00 1120.00 1484.0879  1032.6456 34.5381 3.8510
-50000.00 1130.00 1484.1179  1032.6971 34.5395 3.8176
-50000.00 1140.00 1484.1479  1032.7486 34.5408 3.7841
-50000.00 1150.00 1484.1778  1032.8000 34.5422 3.7507
-50000.00 1160.00 1484.2078  1032.8515 34.5435 3.7173
-50000.00 1170.00 1484.2378  1032.9030 34.5449 3.6839
-50000.00 1180.00 1484.2677  1032.9544 34.5462 3.6505
-50000.00 1190.00 1484.2977  1033.0059 34.5476 3.6170
-50000.00 1200.00 1484.3276  1033.0574 34.5489 3.5836
-50000.00 1210.00 1484.3641  1033.1086 34.5503 3.5518
-50000.00 1220.00 1484.4086  1033.1596 34.5516 3.5220
-50000.00 1230.00 1484.4531  1033.2106 34.5529 3.4921
-50000.00 1240.00 1484.4976  1033.2615 34.5543 3.4623
-50000.00 1250.00 1484.5422  1033.3125 34.5556 3.4325
-50000.00 1260.00 1484.5867  1033.3635 34.5570 3.4027
-50000.00 1270.00 1484.6312  1033.4144 34.5583 3.3728
-50000.00 1280.00 1484.6757  1033.4654 34.5597 3.3430
-50000.00 1290.00 1484.7202  1033.5164 34.5610 3.3132
-50000.00 1300.00 1484.7647  1033.5673 34.5624 3.2833
-50000.00 1310.00 1484.8147  1033.6181 34.5637 3.2548
-50000.00 1320.00 1484.8737  1033.6686 34.5650 3.2285
-50000.00 1330.00 1484.9327  1033.7191 34.5664 3.2022
-50000.00 1340.00 1484.9916  1033.7696 34.5677 3.1759
-50000.00 1350.00 1485.0506  1033.8201 34.5690 3.1495
-50000.00 1360.00 1485.1096  1033.8705 34.5703 3.1232
-50000.00 1370.00 1485.1686  1033.9210 34.5717 3.0969
-50000.00 1380.00 1485.2276  1033.9715 34.5730 3.0705
-50000.00 1390.00 1485.2865  1034.0220 34.5743 3.0442
-50000.00 1400.00 1485.3455  1034.0725 34.5756 3.0179
-50000.00 1410.00 1485.4058  1034.1229 34.5770 2.9918
-50000.00 1420.00 1485.4797  1034.1729 34.5782 2.9690
-50000.00 1430.00 1485.5536  1034.2228 34.5795 2.9462
-50000.00 1440.00 1485.6275  1034.2728 34.5808 2.9235
-50000.00 1450.00 1485.7014  1034.3227 34.5821 2.9007
-50000.00 1460.00 1485.7753  1034.3727 34.5833 2.8779
-50000.00 1470.00 1485.8493  1034.4227 34.5846 2.8551
-50000.00 1480.00 1485.9232  1034.4726 34.5859 2.8323
-50000.00 1490.00 1485.9971  1034.5226 34.5872 2.8095
-50000.00 1500.00 1486.0710  1034.5725 34.5884 2.7867
-50000.00 1510.00 1486.1449  1034.6225 34.5897 2.7639
-50000.00 1520.00 1486.2233  1034.6723 34.5909 2.7422
-50000.00 1530.00 1486.3128  1034.7217 34.5921 2.7230
-50000.00 1540.00 1486.4022  1034.7711 34.5933 2.7038
-50000.00 1550.00 1486.4916  1034.8205 34.5945 2.6847
-50000.00 1560.00 1486.5811  1034.8698 34.5957 2.6655
-50000.00 1570.00 1486.6705  1034.9192 34.5969 2.6463
-50000.00 1580.00 1486.7599  1034.9686 34.5980 2.6272
-50000.00 1590.00 1486.8494  1035.0180 34.5992 2.6080
-50000.00 1600.00 1486.9388  1035.0674 34.6004 2.5888
-50000.00 1610.00 1487.0282  1035.1168 34.6016 2.5696
-50000.00 1620.00 1487.1177  1035.1662 34.6028 2.5505
-50000.00 1630.00 1487.2071  1035.2156 34.6039 2.5313
-50000.00 1640.00 1487.3057  1035.2646 34.6051 2.5142
-50000.00 1650.00 1487.4108  1035.3134 34.6061 2.4987
-50000.00 1660.00 1487.5159  1035.3622 34.6072 2.4831
-50000.00 1670.00 1487.6210  1035.4110 34.6082 2.4675
-50000.00 1680.00 1487.7262  1035.4598 34.6093 2.4520
-50000.00 1690.00 1487.8313  1035.5086 34.6103 2.4364
-50000.00 1700.00 1487.9364  1035.5573 34.6114 2.4208
-50000.00 1710.00 1488.0415  1035.6061 34.6124 2.4053
-50000.00 1720.00 1488.1466  1035.6549 34.6135 2.3897
-50000.00 1730.00 1488.2518  1035.7037 34.6145 2.3741
-50000.00 1740.00 1488.3569  1035.7525 34.6156 2.3585
-50000.00 1750.00 1488.4620  1035.8013 34.6166 2.3430
-50000.00 1760.00 1488.5671  1035.8501 34.6177 2.3274
-50000.00 1770.00 1488.6794  1035.8986 34.6186 2.3134
-50000.00 1780.00 1488.7991  1035.9468 34.6195 2.3012
-50000.00 1790.00 1488.9188  1035.9950 34.6204 2.2889
-50000.00 1800.00 1489.0385  1036.0432 34.6213 2.2766
-50000.00 1810.00 1489.1583  1036.0914 34.6222 2.2644
-50000.00 1820.00 1489.2780  1036.1396 34.6231 2.2521
-50000.00 1830.00 1489.3977  1036.1878 34.6240 2.2398
-50000.00 1840.00 1489.5174  1036.2360 34.6249 2.2275
-50000.00 1850.00 1489.6372  1036.2842 34.6258 2.2153
-50000.00 1860.00 1489.7569  1036.3324 34.6267 2.2030
-50000.00 1870.00 1489.8766  1036.3806 34.6276 2.1907
-50000.00 1880.00 1489.9963  1036.4288 34.6285 2.1785
-50000.00 1890.00 1490.1161  1036.4770 34.6293 2.1662
-50000.00 1900.00 1490.2358  1036.5252 34.6302 2.1539
-50000.00 1910.00 1490.3555  1036.5734 34.6311 2.1416
-50000.00 1920.00 1490.4823  1036.6212 34.6319 2.1309
-50000.00 1930.00 1490.6140  1036.6689 34.6327 2.1213
-50000.00 1940.00 1490.7458  1036.7166 34.6334 2.1117
-50000.00 1950.00 1490.8776  1036.7642 34.6341 2.1021
-50000.00 1960.00 1491.0093  1036.8119 34.6349 2.0925
-50000.00 1970.00 1491.1411  1036.8595 34.6356 2.0829
-50000.00 1980.00 1491.2728  1036.9072 34.6363 2.0733
-50000.00 1990.00 1491.4046  1036.9549 34.6370 2.0637
-50000.00 2000.00 1491.5364  1037.0025 34.6378 2.0541
-50000.00 2010.00 1491.6681  1037.0502 34.6385 2.0444
-50000.00 2020.00 1491.7999  1037.0978 34.6392 2.0348
-50000.00 2030.00 1491.9317  1037.1455 34.6400 2.0252
-50000.00 2040.00 1492.0634  1037.1931 34.6407 2.0156
-50000.00 2050.00 1492.1952  1037.2408 34.6414 2.0060
-50000.00 2060.00 1492.3269  1037.2885 34.6421 1.9964
-50000.00 2070.00 1492.4587  1037.3361 34.6429 1.9868
-50000.00 2080.00 1492.5905  1037.3838 34.6436 1.9772
-50000.00 2090.00 1492.7276  1037.4312 34.6442 1.9687
-50000.00 2100.00 1492.8684  1037.4784 34.6448 1.9611
-50000.00 2110.00 1493.0091  1037.5255 34.6454 1.9534
-50000.00 2120.00 1493.1499  1037.5727 34.6459 1.9457
-50000.00 2130.00 1493.2906  1037.6199 34.6465 1.9380
-50000.00 2140.00 1493.4314  1037.6671 34.6471 1.9303
-50000.00 2150.00 1493.5722  1037.7143 34.6477 1.9227
-50000.00 2160.00 1493.7129  1037.7615 34.6482 1.9150
-50000.00 2170.00 1493.8537  1037.8087 34.6488 1.9073
-50000.00 2180.00 1493.9944  1037.8559 34.6494 1.8996
-50000.00 2190.00 1494.1352  1037.9031 34.6500 1.8919
-50000.00 2200.00 1494.2760  1037.9503 34.6505 1.8843
-50000.00 2210.00 1494.4167  1037.9975 34.6511 1.8766
-50000.00 2220.00 1494.5575  1038.0447 34.6517 1.8689
-50000.00 2230.00 1494.6982  1038.0919 34.6522 1.8612
-50000.00 2240.00 1494.8390  1038.1391 34.6528 1.8535
-50000.00 2250.00 1494.9798  1038.1863 34.6534 1.8459
-50000.00 2260.00 1495.1205  1038.2335 34.6540 1.8382
-50000.00 2270.00 1495.2613  1038.2807 34.6545 1.8305
-50000.00 2280.00 1495.4045  1038.3277 34.6550 1.8233
-50000.00 2290.00 1495.5519  1038.3745 34.6555 1.8170
-50000.00 2300.00 1495.6993  1038.4213 34.6559 1.8107
-50000.00 2310.00 1495.8466  1038.4681 34.6563 1.8043
-50000.00 2320.00 1495.9940  1038.5149 34.6568 1.7980
-50000.00 2330.00 1496.1413  1038.5617 34.6572 1.7916
-50000.00 2340.00 1496.2887  1038.6085 34.6576 1.7853
-50000.00 2350.00 1496.4360  1038.6553 34.6581 1.7790
-50000.00 2360.00 1496.5834  1038.7021 34.6585 1.7726
-50000.00 2370.00 1496.7307  1038.7489 34.6589 1.7663
-50000.00 2380.00 1496.8781  1038.7957 34.6594 1.7600
-50000.00 2390.00 1497.0254  1038.8425 34.6598 1.7536
-50000.00 2400.00 1497.1728  1038.8893 34.6602 1.7473
-50000.00 2410.00 1497.3202  1038.9361 34.6607 1.7410
-50000.00 2420.00 1497.4675  1038.9829 34.6611 1.7346
-50000.00 2430.00 1497.6149  1039.0297 34.6615 1.7283
-50000.00 2440.00 1497.7622  1039.0765 34.6620 1.7220
-50000.00 2450.00 1497.9096  1039.1233 34.6624 1.7156
-50000.00 2460.00 1498.0569  1039.1701 34.6628 1.7093
-50000.00 2470.00 1498.2043  1039.2169 34.6633 1.7030
-50000.00 2480.00 1498.3516  1039.2637 34.6637 1.6966
-50000.00 2490.00 1498.4990  1039.3105 34.6641 1.6903
-50000.00 2500.00 1498.6512  1039.3570 34.6645 1.6849
-50000.00 2510.00 1498.8041  1039.4034 34.6648 1.6796
-50000.00 2520.00 1498.9570  1039.4498 34.6651 1.6744
-50000.00 2530.00 1499.1099  1039.4963 34.6654 1.6691
-50000.00 2540.00 1499.2628  1039.5427 34.6657 1.6638
-50000.00 2550.00 1499.4157  1039.5891 34.6661 1.6586
-50000.00 2560.00 1499.5686  1039.6356 34.6664 1.6533
-50000.00 2570.00 1499.7215  1039.6820 34.6667 1.6480
-50000.00 2580.00 1499.8744  1039.7284 34.6670 1.6428
-50000.00 2590.00 1500.0273  1039.7749 34.6673 1.6375
-50000.00 2600.00 1500.1802  1039.8213 34.6676 1.6322
-50000.00 2610.00 1500.3330  1039.8677 34.6680 1.6270
-50000.00 2620.00 1500.4859  1039.9142 34.6683 1.6217
-50000.00 2630.00 1500.6388  1039.9606 34.6686 1.6164
-50000.00 2640.00 1500.7917  1040.0070 34.6689 1.6112
-50000.00 2650.00 1500.9446  1040.0535 34.6692 1.6059
-50000.00 2660.00 1501.0975  1040.0999 34.6696 1.6007
-50000.00 2670.00 1501.2504  1040.1463 34.6699 1.5954
-50000.00 2680.00 1501.4033  1040.1928 34.6702 1.5901
-50000.00 2690.00 1501.5562  1040.2392 34.6705 1.5849
-50000.00 2700.00 1501.7091  1040.2856 34.6708 1.5796
-50000.00 2710.00 1501.8620  1040.3321 34.6711 1.5743
-50000.00 2720.00 1502.0149  1040.3785 34.6715 1.5691
-50000.00 2730.00 1502.1682  1040.4249 34.6718 1.5639
-50000.00 2740.00 1502.3258  1040.4710 34.6720 1.5595
-50000.00 2750.00 1502.4835  1040.5171 34.6722 1.5551
-50000.00 2760.00 1502.6412  1040.5632 34.6725 1.5507
-50000.00 2770.00 1502.7989  1040.6093 34.6727 1.5463
-50000.00 2780.00 1502.9566  1040.6554 34.6729 1.5419
-50000.00 2790.00 1503.1143  1040.7015 34.6732 1.5375
-50000.00 2800.00 1503.2719  1040.7476 34.6734 1.5331
-50000.00 2810.00 1503.4296  1040.7937 34.6736 1.5287
-50000.00 2820.00 1503.5873  1040.8398 34.6739 1.5243
-50000.00 2830.00 1503.7450  1040.8858 34.6741 1.5199
-50000.00 2840.00 1503.9027  1040.9319 34.6743 1.5155
-50000.00 2850.00 1504.0604  1040.9780 34.6746 1.5110
-50000.00 2860.00 1504.2180  1041.0241 34.6748 1.5066
-50000.00 2870.00 1504.3757  1041.0702 34.6750 1.5022
-50000.00 2880.00 1504.5334  1041.1163 34.6753 1.4978
-50000.00 2890.00 1504.6911  1041.1624 34.6755 1.4934
-50000.00 2900.00 1504.8488  1041.2085 34.6757 1.4890
-50000.00 2910.00 1505.0065  1041.2546 34.6760 1.4846
-50000.00 2920.00 1505.1641  1041.3007 34.6762 1.4802
-50000.00 2930.00 1505.3218  1041.3468 34.6764 1.4758
-50000.00 2940.00 1505.4795  1041.3929 34.6767 1.4714
-50000.00 2950.00 1505.6372  1041.4390 34.6769 1.4670
-50000.00 2960.00 1505.7949  1041.4851 34.6771 1.4626
-50000.00 2970.00 1505.9526  1041.5312 34.6774 1.4582
-50000.00 2980.00 1506.1102  1041.5773 34.6776 1.4538
-50000.00 2990.00 1506.2679  1041.6234 34.6779 1.4494
-50000.00 3000.00 1506.4290  1041.6692 34.6780 1.4455
-50000.00 3010.00 1506.5901  1041.7150 34.6782 1.4417
-50000.00 3020.00 1506.7512  1041.7608 34.6784 1.4378
-50000.00 3030.00 1506.9123  1041.8066 34.6786 1.4339
-50000.00 3040.00 1507.0734  1041.8525 34.6788 1.4300
-50000.00 3050.00 1507.2345  1041.8983 34.6790 1.4262
-50000.00 3060.00 1507.3956  1041.9441 34.6792 1.4223
-50000.00 3070.00 1507.5567  1041.9899 34.6794 1.4184
-50000.00 3080.00 1507.7178  1042.0357 34.6796 1.4145
-50000.00 3090.00 1507.8789  1042.0815 34.6797 1.4107
-50000.00 3100.00 1508.0401  1042.1273 34.6799 1.4068
-50000.00 3110.00 1508.2012  1042.1732 34.6801 1.4029
-50000.00 3120.00 1508.3623  1042.2190 34.6803 1.3990
-50000.00 3130.00 1508.5234  1042.2648 34.6805 1.3952
-50000.00 3140.00 1508.6845  1042.3106 34.6807 1.3913
-50000.00 3150.00 1508.8456  1042.3564 34.6809 1.3874
-50000.00 3160.00 1509.0067  1042.4022 34.6811 1.3835
-50000.00 3170.00 1509.1678  1042.4480 34.6813 1.3796
-50000.00 3180.00 1509.3289  1042.4939 34.6814 1.3758
-50000.00 3190.00 1509.4900  1042.5397 34.6816 1.3719
-50000.00 3200.00 1509.6512  1042.5855 34.6818 1.3680
-50000.00 3210.00 1509.8123  1042.6313 34.6820 1.3641
-50000.00 3220.00 1509.9734  1042.6771 34.6822 1.3603
-50000.00 3230.00 1510.1345  1042.7229 34.6824 1.3564
-50000.00 3240.00 1510.2956  1042.7687 34.6826 1.3525
-50000.00 3250.00 1510.4567  1042.8146 34.6828 1.3486
-50000.00 3260.00 1510.6178  1042.8604 34.6830 1.3448
-50000.00 3270.00 1510.7789  1042.9062 34.6831 1.3409
-50000.00 3280.00 1510.9410  1042.9519 34.6833 1.3371
-50000.00 3290.00 1511.1039  1042.9975 34.6835 1.3333
-50000.00 3300.00 1511.2667  1043.0431 34.6837 1.3295
-50000.00 3310.00 1511.4296  1043.0887 34.6839 1.3258
-50000.00 3320.00 1511.5924  1043.1343 34.6841 1.3220
-50000.00 3330.00 1511.7552  1043.1800 34.6843 1.3183
-50000.00 3340.00 1511.9181  1043.2256 34.6845 1.3145
-50000.00 3350.00 1512.0809  1043.2712 34.6847 1.3107
-50000.00 3360.00 1512.2437  1043.3168 34.6848 1.3070
-50000.00 3370.00 1512.4066  1043.3624 34.6850 1.3032
-50000.00 3380.00 1512.5694  1043.4080 34.6852 1.2994
-50000.00 3390.00 1512.7323  1043.4536 34.6854 1.2957
-50000.00 3400.00 1512.8951  1043.4993 34.6856 1.2919
-50000.00 3410.00 1513.0579  1043.5449 34.6858 1.2881
-50000.00 3420.00 1513.2208  1043.5905 34.6860 1.2844
-50000.00 3430.00 1513.3836  1043.6361 34.6862 1.2806
-50000.00 3440.00 1513.5465  1043.6817 34.6863 1.2769
-50000.00 3450.00 1513.7093  1043.7273 34.6865 1.2731
-50000.00 3460.00 1513.8721  1043.7729 34.6867 1.2693
-50000.00 3470.00 1514.0350  1043.8186 34.6869 1.2656
-50000.00 3480.00 1514.1978  1043.8642 34.6871 1.2618
-50000.00 3490.00 1514.3607  1043.9098 34.6873 1.2580
-50000.00 3500.00 1514.5235  1043.9554 34.6875 1.2543
-50000.00 3510.00 1514.6863  1044.0010 34.6877 1.2505
-50000.00 3520.00 1514.8492  1044.0466 34.6879 1.2467
-50000.00 3530.00 1515.0120  1044.0922 34.6880 1.2430
-50000.00 3540.00 1515.1749  1044.1379 34.6882 1.2392
-50000.00 3550.00 1515.3377  1044.1835 34.6884 1.2355
-50000.00 3560.00 1515.5005  1044.2291 34.6886 1.2317
-50000.00 3570.00 1515.6634  1044.2747 34.6888 1.2279
-50000.00 3580.00 1515.8262  1044.3203 34.6890 1.2242
-50000.00 3590.00 1515.9903  1044.3658 34.6892 1.2204
-50000.00 3600.00 1516.1546  1044.4112 34.6894 1.2167
-50000.00 3610.00 1516.3189  1044.4566 34.6896 1.2130
-50000.00 3620.00 1516.4832  1044.5020 34.6898 1.2092
-50000.00 3630.00 1516.6475  1044.5475 34.6900 1.2055
-50000.00 3640.00 1516.8118  1044.5929 34.6902 1.2017
-50000.00 3650.00 1516.9761  1044.6383 34.6904 1.1980
-50000.00 3660.00 1517.1403  1044.6838 34.6906 1.1943
-50000.00 3670.00 1517.3046  1044.7292 34.6908 1.1905
-50000.00 3680.00 1517.4689  1044.7746 34.6910 1.1868
-50000.00 3690.00 1517.6332  1044.8200 34.6913 1.1831
-50000.00 3700.00 1517.7975  1044.8655 34.6915 1.1793
-50000.00 3710.00 1517.9618  1044.9109 34.6917 1.1756
-50000.00 3720.00 1518.1261  1044.9563 34.6919 1.1719
-50000.00 3730.00 1518.2904  1045.0018 34.6921 1.1681
-50000.00 3740.00 1518.4547  1045.0472 34.6923 1.1644
-50000.00 3750.00 1518.6190  1045.0926 34.6925 1.1607
-50000.00 3760.00 1518.7832  1045.1380 34.6927 1.1569
-50000.00 3770.00 1518.9475  1045.1835 34.6929 1.1532
-50000.00 3780.00 1519.1118  1045.2289 34.6931 1.1495
-50000.00 3790.00 1519.2761  1045.2743 34.6933 1.1457
-50000.00 3800.00 1519.4404  1045.3198 34.6935 1.1420
-50000.00 3810.00 1519.6047  1045.3652 34.6937 1.1382
-50000.00 3820.00 1519.7690  1045.4106 34.6939 1.1345
-50000.00 3830.00 1519.9333  1045.4560 34.6941 1.1308
-50000.00 3840.00 1520.0976  1045.5015 34.6944 1.1270
-50000.00 3850.00 1520.2619  1045.5469 34.6946 1.1233
-50000.00 3860.00 1520.4261  1045.5923 34.6948 1.1196
-50000.00 3870.00 1520.5904  1045.6378 34.6950 1.1158
-50000.00 3880.00 1520.7547  1045.6832 34.6952 1.1121
-50000.00 3890.00 1520.9190  1045.7286 34.6954 1.1084
-50000.00 3900.00 1521.0833  1045.7740 34.6956 1.1046
-50000.00 3910.00 1521.2476  1045.8195 34.6958 1.1009
-50000.00 3920.00 1521.4129  1045.8647 34.6960 1.0971
-50000.00 3930.00 1521.5783  1045.9100 34.6963 1.0933
-50000.00 3940.00 1521.7437  1045.9552 34.6965 1.0895
-50000.00 3950.00 1521.9091  1046.0005 34.6967 1.0857
-50000.00 3960.00 1522.0745  1046.0457 34.6969 1.0819
-50000.00 3970.00 1522.2399  1046.0909 34.6972 1.0781
-50000.00 3980.00 1522.4053  1046.1362 34.6974 1.0743
-50000.00 3990.00 1522.5707  1046.1814 34.6976 1.0705
-50000.00 4000.00 1522.7361  1046.2267 34.6978 1.0667
-50000.00 4010.00 1522.9015  1046.2719 34.6981 1.0629
-50000.00 4020.00 1523.0669  1046.3172 34.6983 1.0591
-50000.00 4030.00 1523.2323  1046.3624 34.6985 1.0553
-50000.00 4040.00 1523.3977  1046.4076 34.6988 1.0515
-50000.00 4050.00 1523.5631  1046.4529 34.6990 1.0478
-50000.00 4060.00 1523.7285  1046.4981 34.6992 1.0440
-50000.00 4070.00 1523.8939  1046.5434 34.6994 1.0402
-50000.00 4080.00 1524.0594  1046.5886 34.6997 1.0364
-50000.00 4090.00 1524.2248  1046.6339 34.6999 1.0326
-50000.00 4100.00 1524.3902  1046.6791 34.7001 1.0288
-50000.00 4110.00 1524.5556  1046.7243 34.7004 1.0250
-50000.00 4120.00 1524.7210  1046.7696 34.7006 1.0212
