#automaid v3.4.0-Z (https://github.com/earthscopeoceans/automaid)
#created 2021-05-28T16:42:41Z
#                               filename          interp_STLA    interp_STLO      STDP
20180811T094707.10_5B6F002C.MER.DET.WLT5           -14.027804    -165.808472      1527
20180817T154404.10_5B773BAD.MER.DET.WLT5           -14.014482    -165.750046      1500
20180819T002046.10_5B7ACDEE.MER.DET.WLT5           -14.000408    -165.753403      1519
20180819T022005.10_5B7ACDEE.MER.DET.WLT5           -13.999923    -165.752731      1525
20180819T030842.10_5B801C20.MER.DET.WLT5           -13.999724    -165.752457      1539
20180819T043004.10_5B7ACDEE.MER.DET.WLT5           -13.999393    -165.751984      1518
20180819T063803.10_5B7ACDEE.MER.DET.WLT5           -13.998873    -165.751251      1523
20180819T150648.10_5B7ACDEE.MER.DET.WLT5           -13.996802    -165.748352      1508
20180819T184502.10_5B801C20.MER.DET.WLT5           -13.995914    -165.747116      1517
20180819T185044.10_5B801C20.MER.DET.WLT5           -13.995892    -165.747086      1516
20180820T083909.10_5B801C20.MER.DET.WLT5           -13.992520    -165.742355      1530
20180824T091655.10_5B801C20.MER.DET.WLT5           -13.987083    -165.709991      1519
20180826T072718.10_5B8598B6.MER.DET.WLT5           -13.984234    -165.684402      1531
20180828T131026.10_5B8598B6.MER.DET.WLT5           -13.976880    -165.643814      1537
20180905T181610.10_5D877D2E.MER.REQ.WLT5           -13.951728    -165.512177    -12345
20180908T072638.10_5B93CA95.MER.DET.WLT5           -13.952601    -165.478516      1530
20180909T193438.10_5D810C6C.MER.REQ.WLT5           -13.942875    -165.453125    -12345
20180910T042024.10_5D810C6C.MER.REQ.WLT5           -13.940976    -165.444397    -12345
20180910T042209.10_5B97235E.MER.DET.WLT5           -13.940970    -165.444366      1529
20180910T202552.10_5B97235E.MER.DET.WLT5           -13.937491    -165.428391      1534
20180916T131202.10_5B9EA66A.MER.DET.WLT5           -13.915235    -165.321655      1516
20180921T034206.10_5BA4B8A4.MER.DET.WLT5           -13.893997    -165.234344      1505
20180926T003846.10_5BAB2638.MER.DET.WLT5           -13.938725    -165.135010      1530
20180928T101106.10_5D810C6C.MER.REQ.WLT5           -13.969840    -165.110489    -12345
20180928T101307.10_5BAE4E32.MER.DET.WLT5           -13.969855    -165.110474      1518
20180930T105338.10_5BB96C72.MER.DET.WLT5           -13.968267    -165.080673      1523
20181010T205300.10_5D810C6C.MER.REQ.WLT5           -13.960213    -164.888275    -12345
20181010T232401.10_5D810C6C.MER.REQ.WLT5           -13.960275    -164.886215    -12345
20181022T054731.10_5D75DB4E.MER.REQ.WLT5           -13.960286    -164.685150    -12345
20181022T062421.10_5D75DB4E.MER.REQ.WLT5           -13.960279    -164.684708    -12345
20181025T183319.10_5BD70084.MER.DET.WLT5           -13.960519    -164.627533      1508
20181025T231125.10_5D75DB4E.MER.REQ.WLT5           -13.960056    -164.623917    -12345
20181029T070517.10_5BD70084.MER.DET.WLT5           -13.952076    -164.561523      1520
20181030T212813.10_5BE22435.MER.DET.WLT5           -13.943814    -164.544479      1528
20181103T095758.10_5BE22435.MER.DET.WLT5           -13.911814    -164.494949      1519
20181109T020509.10_5D6AAB9E.MER.REQ.WLT5           -13.869010    -164.441116    -12345
20181109T020510.10_5DC0F846.MER.REQ.WLT5           -13.869010    -164.441116    -12345
20181110T083420.10_5BED4234.MER.DET.WLT5           -13.862413    -164.430649      1530
20181114T223745.10_5BED4234.MER.DET.WLT5           -13.838599    -164.392899      1488
20181118T202713.10_5BF21B12.MER.DET.WLT5           -13.813403    -164.326065      1512
20181120T004703.10_5BFCFE75.MER.DET.WLT5           -13.807992    -164.308151      1491
20181127T024707.10_5BFCFE75.MER.DET.WLT5           -13.791580    -164.253403      1525
20181130T173932.10_5C01C5AC.MER.DET.WLT5           -13.797609    -164.215530      1521
20181203T092752.10_5C07A1F6.MER.DET.WLT5           -13.822726    -164.216461      1514
20181205T042022.10_5D6AAB9E.MER.REQ.WLT5           -13.836425    -164.217255    -12345
20181205T042024.10_5DC0F846.MER.REQ.WLT5           -13.836425    -164.217255    -12345
20181205T042215.10_5C07A1F6.MER.DET.WLT5           -13.836435    -164.217255      1520
20181205T042537.10_5D6AAB9E.MER.REQ.WLT3           -13.836452    -164.217255    -12345
20181205T042539.10_5DC0F846.MER.REQ.WLT3           -13.836453    -164.217255    -12345
20181207T043749.10_5C12C4D8.MER.DET.WLT5           -13.852871    -164.231537      1512
20181211T023637.10_5D6AAB9E.MER.REQ.WLT5           -13.886765    -164.245331    -12345
20181211T023642.10_5DB7E16E.MER.REQ.WLT5           -13.886765    -164.245331    -12345
20181212T032728.10_5C12C4D8.MER.DET.WLT5           -13.895726    -164.248993      1519
20181216T095055.10_5C1670A0.MER.DET.WLT5           -13.926425    -164.257736      1530
20181219T014614.10_5C19F36C.MER.DET.WLT5           -13.964645    -164.257706      1529
20181220T171158.10_5C251380.MER.DET.WLT5           -13.984717    -164.257584      1493
20181229T034659.10_5D6AAB9E.MER.REQ.WLT5           -14.118968    -164.244934    -12345
20190106T173505.10_5D5F7E3A.MER.REQ.WLT5           -14.245805    -164.234695    -12345
20190108T090958.10_5C34B904.MER.DET.WLT5           -14.274764    -164.220566      1528
20190111T055928.10_5C3E70A0.MER.DET.WLT5           -14.324455    -164.196259      1511
20190115T181052.10_5C3E70A0.MER.DET.WLT5           -14.404655    -164.153137      1490
20190120T014200.10_5D5F7E3A.MER.REQ.WLT5           -14.418666    -164.102417    -12345
