#automaid v3.4.0-Z (https://github.com/earthscopeoceans/automaid)
#created 2021-05-28T16:42:41Z
#                               filename          interp_STLA    interp_STLO      STDP
20180910T042344.20_5D6E43E4.MER.REQ.WLT5           -20.307955    -130.612320    -12345
20180910T042534.20_5B9F17D2.MER.DET.WLT5           -20.307955    -130.612289      1499
20180916T211610.20_5D6E43E4.MER.REQ.WLT5           -20.304272    -130.384537    -12345
20180916T211758.20_5B9F17D2.MER.DET.WLT5           -20.304272    -130.384491      1510
20180928T063337.20_5D6E43E4.MER.REQ.WLT5           -20.342976    -130.096664    -12345
20180928T104407.20_5D6A6062.MER.REQ.WLT3           -20.344374    -130.094513    -12345
20180930T105814.20_5BB55830.MER.DET.WLT5           -20.360519    -130.069550      1500
20181010T205650.20_5D6A6062.MER.REQ.WLT5           -20.463203    -129.976379    -12345
20181010T232603.20_5D6A6062.MER.REQ.WLT5           -20.464474    -129.975540    -12345
20181016T003431.20_5D6A6062.MER.REQ.WLT5           -20.536345    -129.962387    -12345
20181016T011001.20_5D64D97A.MER.REQ.WLT5           -20.536737    -129.962372    -12345
20181022T054727.20_5D64D97A.MER.REQ.WLT5           -20.634102    -129.971008    -12345
20181022T062416.20_5D64D97A.MER.REQ.WLT5           -20.634577    -129.971207    -12345
20181025T231115.20_5D64D97A.MER.REQ.WLT5           -20.703260    -129.998672    -12345
20181109T020507.20_5D5DB190.MER.REQ.WLT5           -20.964281    -130.154846    -12345
20181130T174021.20_5C01C494.MER.DET.WLT5           -21.412676    -130.314590      1516
20181205T042423.20_5D5DB190.MER.REQ.WLT5           -21.453579    -130.294128    -12345
20181205T042615.20_5C07A4C0.MER.DET.WLT5           -21.453590    -130.294128      1530
20181211T023455.20_5D5DB190.MER.REQ.WLT5           -21.500858    -130.207275    -12345
20181211T023653.20_5C0F7702.MER.DET.WLT5           -21.500870    -130.207260      1530
20181229T001003.20_5D5DB190.MER.REQ.WLT5           -21.351496    -129.862579    -12345
20181231T114420.20_5C2A50AD.MER.DET.WLT5           -21.291821    -129.830505      1530
20190105T193259.20_5C3154A8.MER.DET.WLT5           -21.160412    -129.807877      1521
20190120T013842.20_5D5DB190.MER.REQ.WLT5           -20.754908    -129.889969    -12345
20190122T014057.20_5D56E38D.MER.REQ.WLT5           -20.700829    -129.893478    -12345
20190126T130957.20_5C4CA6CB.MER.DET.WLT5           -20.571850    -129.892029      1540
20190128T150507.20_5C54C1B7.MER.DET.WLT5           -20.517036    -129.896240      1520
20190201T161945.20_5D56E38D.MER.REQ.WLT5           -20.416790    -129.891739    -12345
20190201T162133.20_5C54C1B7.MER.DET.WLT5           -20.416759    -129.891739      1542
