#automaid v3.4.0-Z (https://github.com/earthscopeoceans/automaid)
#created 2021-05-28T16:42:41Z
#                               filename          interp_STLA    interp_STLO      STDP
20180916T211519.22_5D829462.MER.REQ.WLT5           -24.154114    -136.596130    -12345
20180916T211710.22_5B9F1A3B.MER.DET.WLT5           -24.154114    -136.596130      1522
20180928T063337.22_5D829462.MER.REQ.WLT5           -24.144281    -136.594208    -12345
20180928T104129.22_5D776D2A.MER.REQ.WLT3           -24.144855    -136.594955    -12345
20180930T105732.22_5BB0FD10.MER.DET.WLT5           -24.151571    -136.603729      1519
20181010T205614.22_5D776D2A.MER.REQ.WLT5           -24.141502    -136.664902    -12345
20181010T232558.22_5D776D2A.MER.REQ.WLT5           -24.141703    -136.666275    -12345
20181016T003340.22_5D776D2A.MER.REQ.WLT5           -24.151413    -136.733246    -12345
20181016T010911.22_5D776D2A.MER.REQ.WLT5           -24.151461    -136.733566    -12345
20181022T054751.22_5D6C3F30.MER.REQ.WLT5           -24.180136    -136.822449    -12345
20181022T062439.22_5D6C3F30.MER.REQ.WLT5           -24.180267    -136.822800    -12345
20181109T020517.22_5D6C3F30.MER.REQ.WLT5           -24.297340    -137.094543    -12345
20181115T201115.22_5D6C3F30.MER.REQ.WLT5           -24.332123    -137.210571    -12345
20181118T203108.22_5BF21F2C.MER.DET.WLT5           -24.350340    -137.268173      1510
20181130T174028.22_5C01C80A.MER.DET.WLT5           -24.390324    -137.471634      1512
20181205T042330.22_5D664C02.MER.REQ.WLT5           -24.391918    -137.548355    -12345
20181205T042534.22_5C07A424.MER.DET.WLT5           -24.391916    -137.548386      1523
20181211T023500.22_5D664C02.MER.REQ.WLT5           -24.358589    -137.636948    -12345
20181211T023656.22_5C0F76BF.MER.DET.WLT5           -24.358583    -137.636978      1496
20181229T034913.22_5D664C02.MER.REQ.WLT5           -24.202213    -137.950150    -12345
20190106T173718.22_5D664C02.MER.REQ.WLT5           -24.099056    -138.043076    -12345
20190120T013923.22_5D664C02.MER.REQ.WLT5           -24.045605    -138.120438    -12345
20190122T052012.22_5D5B2048.MER.REQ.WLT5           -24.043671    -138.134750    -12345
20190201T162045.22_5D5B2048.MER.REQ.WLT5           -24.073217    -138.242249    -12345
20190201T162232.22_5C5D7252.MER.DET.WLT5           -24.073227    -138.242264      1493
20190222T102414.22_5D5B2048.MER.REQ.WLT5           -24.126583    -138.529587    -12345
20190222T102608.22_5C701FDA.MER.DET.WLT5           -24.126579    -138.529602      1528
20190301T085923.22_5C79454A.MER.DET.WLT5           -24.044638    -138.637177      1518
20190306T154945.22_5D5B2048.MER.REQ.WLT5           -24.033697    -138.697067    -12345
20190402T214443.22_5D5B2048.MER.REQ.WLT5           -24.003284    -138.928757    -12345
20190405T162305.22_5DC5735E.MER.REQ.WLT5           -23.996138    -138.942078    -12345
20190409T180249.22_5DC5735E.MER.REQ.WLT5           -23.992575    -138.946106    -12345
20190412T115058.22_5DC5735E.MER.REQ.WLT5           -23.990173    -138.948807    -12345
20190418T145329.22_5DC5735E.MER.REQ.WLT5           -24.004194    -138.984467    -12345
20190506T212923.22_5CD0F7E6.MER.DET.WLT5           -24.035212    -139.218460      1507
20190526T074815.22_5DBA4820.MER.REQ.WLT5           -24.026308    -139.512878    -12345
20190526T075035.22_5CEA95BC.MER.DET.WLT5           -24.026321    -139.512924      1489
20190530T091020.22_5DBA4820.MER.REQ.WLT5           -24.041527    -139.571106    -12345
20190901T155850.22_5D6C3F30.MER.DET.WLT5           -23.885208    -140.962341      1545
20200325T030059.22_5E7B1CE2.MER.DET.WLT5           -24.829857    -139.586716      1536
20200717T030004.22_5F116694.MER.DET.WLT5           -24.938936    -139.043915      1514
20200805T121328.22_5F794E06.MER.REQ.WLT5           -24.926540    -139.218491    -12345
20200805T121328.22_5F62A85C.MER.REQ.WLT5           -24.926540    -139.218491    -12345
20200805T121329.22_5F2AF4E8.MER.DET.WLT5           -24.926540    -139.218491      1523
20200815T071008.22_609D2A2E.MER.REQ.WLT5           -24.910255    -139.391281    -12345
20201006T101622.22_5F7C87CC.MER.DET.WLT5           -24.746239    -140.362411      1266
20201010T134402.22_609D2A2E.MER.REQ.WLT5           -24.752783    -140.438919    -12345
20201019T210544.22_5F8E441C.MER.DET.WLT5           -24.797215    -140.583679      1261
20201130T230403.22_5FC5C068.MER.DET.WLT5           -24.696142    -140.807327      1254
20201203T025318.22_5FD140BE.MER.DET.WLT5           -24.677958    -140.821625      1272
20210119T025521.22_60069084.MER.DET.WLT5           -24.116693    -140.608292      1278
20210210T132648.22_6024248A.MER.DET.WLT5           -24.149271    -139.994232      1273
20210211T122152.22_602FA41A.MER.DET.WLT5           -24.150755    -139.964645      1239
20210211T122740.22_602FA41A.MER.DET.WLT5           -24.150745    -139.964523      1239
20210212T171934.22_602FA41A.MER.DET.WLT5           -24.147453    -139.926254      1257
20210304T133316.22_60412741.MER.DET.WLT5           -24.318945    -139.404617      1282
