#automaid v3.4.0-Z (https://github.com/earthscopeoceans/automaid)
#created 2021-05-28T16:42:41Z
#                               filename          interp_STLA    interp_STLO      STDP
20180817T154437.11_5B773B3F.MER.DET.WLT5           -13.904903    -159.570679      1490
20180819T002141.11_5B801896.MER.DET.WLT5           -13.899939    -159.571152      1522
20180819T043107.11_5B801896.MER.DET.WLT5           -13.898868    -159.569885      1539
20180819T150726.11_5B801896.MER.DET.WLT5           -13.896135    -159.566650      1525
20180824T091415.11_5B801896.MER.DET.WLT5           -13.866733    -159.531769      1495
20180905T181631.11_5D828570.MER.REQ.WLT5           -13.868370    -159.441696    -12345
20180906T155140.11_5B919C0F.MER.DET.WLT5           -13.869475    -159.432709      1502
20180909T165057.11_5B95C402.MER.DET.WLT5           -13.895877    -159.390656      1516
20180909T193528.11_5D828570.MER.REQ.WLT5           -13.896964    -159.388824    -12345
20180909T193718.11_5B95C402.MER.DET.WLT5           -13.896976    -159.388794      1506
20180916T211257.11_5D7760BE.MER.REQ.WLT5           -13.946971    -159.351929    -12345
20180916T211449.11_5B9F1304.MER.DET.WLT5           -13.946981    -159.351913      1481
20180928T101137.11_5D7760BE.MER.REQ.WLT5           -13.993083    -159.285904    -12345
20180928T103246.11_5D7760BE.MER.REQ.WLT3           -13.993155    -159.285782    -12345
20180930T105436.11_5BB0F914.MER.DET.WLT5           -14.003203    -159.269531      1512
20181010T205344.11_5D7760BE.MER.REQ.WLT5           -14.057492    -159.255280    -12345
20181010T232416.11_5D7760BE.MER.REQ.WLT5           -14.057716    -159.254974    -12345
20181016T003106.11_5D6C3790.MER.REQ.WLT5           -14.068496    -159.239960    -12345
20181016T010636.11_5D6C3790.MER.REQ.WLT5           -14.068548    -159.239883    -12345
20181030T021825.11_5BD80D90.MER.DET.WLT5           -14.159040    -159.225098      1512
20181102T111057.11_5BDC811C.MER.DET.WLT5           -14.196192    -159.234726      1520
20181109T020509.11_5D6C3790.MER.REQ.WLT5           -14.269182    -159.330032    -12345
20181115T201243.11_5D6C3790.MER.REQ.WLT5           -14.331615    -159.408691    -12345
20181118T202757.11_5BF21C46.MER.DET.WLT5           -14.355548    -159.434784      1507
20181130T173933.11_5C01C3D2.MER.DET.WLT5           -14.472200    -159.564865      1532
20181205T042058.11_5D61B0DE.MER.REQ.WLT5           -14.530041    -159.608292    -12345
20181205T042254.11_5C07A227.MER.DET.WLT5           -14.530060    -159.608307      1500
20181207T044105.11_5C10E718.MER.DET.WLT5           -14.560603    -159.634659      1515
20181211T023626.11_5D61B0DE.MER.REQ.WLT5           -14.625646    -159.674927    -12345
20181212T051750.11_5C10E718.MER.DET.WLT5           -14.644129    -159.686371      1522
20181223T231043.11_5C272B36.MER.DET.WLT5           -14.844597    -159.738144      1507
20181223T232218.11_5C272B36.MER.DET.WLT5           -14.844785    -159.738159      1507
20190104T122006.11_5C2FA004.MER.DET.WLT5           -15.098009    -159.726700      1509
20190106T173532.11_5D61B0DE.MER.REQ.WLT5           -15.129529    -159.709305    -12345
20190111T060013.11_5C387FD0.MER.DET.WLT5           -15.181346    -159.687500      1515
20190115T181132.11_5C3E735E.MER.DET.WLT5           -15.198393    -159.633026      1535
20190120T014138.11_5D61B0DE.MER.REQ.WLT5           -15.173446    -159.566193    -12345
