#automaid v3.4.0-Z (https://github.com/earthscopeoceans/automaid)
#created 2021-05-28T16:42:41Z
#                               filename          interp_STLA    interp_STLO      STDP
20181010T205550.23_5D557EAA.MER.REQ.WLT5           -24.037197    -140.916840    -12345
20181010T232547.23_5D557EAA.MER.REQ.WLT5           -24.036509    -140.916870    -12345
20181016T003311.23_5D557EAA.MER.REQ.WLT5           -24.003105    -140.917999    -12345
20181016T010842.23_5D557EAA.MER.REQ.WLT5           -24.002943    -140.917999    -12345
20181022T054752.23_5D557EAA.MER.REQ.WLT5           -23.975117    -140.882660    -12345
20181022T062441.23_5D557346.MER.REQ.WLT5           -23.975044    -140.882599    -12345
20181109T020518.23_5D557346.MER.REQ.WLT5           -23.985273    -140.905472    -12345
20181115T201125.23_5D557346.MER.REQ.WLT5           -24.010405    -140.941940    -12345
20181118T203032.23_5BF218C1.MER.DET.WLT5           -24.014130    -140.966339      1505
20181130T174024.23_5C01C59C.MER.DET.WLT5           -23.984554    -141.086273      1513
20181205T042305.23_5D557346.MER.REQ.WLT5           -23.988440    -141.154938    -12345
20181205T042508.23_5C07A19C.MER.DET.WLT5           -23.988438    -141.154953      1515
20181211T023511.23_5D557346.MER.REQ.WLT5           -24.007051    -141.254288    -12345
20181211T023707.23_5C0F7654.MER.DET.WLT5           -24.007055    -141.254318      1510
20181223T231322.23_5C206675.MER.DET.WLT5           -24.031462    -141.446259      1514
20181229T034857.23_5D538536.MER.REQ.WLT5           -24.061745    -141.579468    -12345
20190106T173702.23_5D538536.MER.REQ.WLT5           -24.113321    -141.781311    -12345
20190120T013946.23_5D538536.MER.REQ.WLT5           -24.185421    -142.071106    -12345
20190120T014146.23_5C4CECB8.MER.DET.WLT5           -24.185427    -142.071121      1529
20190122T051955.23_5D538536.MER.REQ.WLT5           -24.195608    -142.106766    -12345
20190122T153237.23_5D4FA02E.MER.REQ.WLT5           -24.197620    -142.113815    -12345
20190201T162107.23_5D4FA02E.MER.REQ.WLT5           -24.230978    -142.273270    -12345
20190222T102437.23_5D4FA02E.MER.REQ.WLT5           -24.327166    -142.445312    -12345
20190222T102627.23_5C79436A.MER.DET.WLT5           -24.327175    -142.445312      1505
20190301T085947.23_5C79436A.MER.DET.WLT5           -24.377804    -142.479568      1522
20190306T154915.23_5D4FA02E.MER.REQ.WLT5           -24.393524    -142.541580    -12345
20190402T214437.23_5D4FA02E.MER.REQ.WLT5           -24.298689    -142.774826    -12345
20190506T212859.23_5CD0F740.MER.DET.WLT5           -24.170319    -143.213928      1500
20190526T075031.23_5CEA9396.MER.DET.WLT5           -24.043444    -143.402222      1511
20190622T130604.23_5D185934.MER.DET.WLT5           -24.066532    -143.493851      1496
20190808T010316.23_5D4BC0DE.MER.DET.WLT5           -23.787380    -143.488724      1508
20190828T000606.23_5D6A045E.MER.DET.WLT5           -30.605278    -158.712158      1506
20190901T155643.23_5D6FD824.MER.DET.WLT5           -30.582495    -158.617676      1489
20190904T095132.23_5D6FD824.MER.DET.WLT5           -30.570236    -158.550674      1507
20190918T020233.23_5D83AB7E.MER.DET.WLT5           -30.306900    -158.190109      1517
20190921T200255.23_5D86D01A.MER.DET.WLT5           -30.171064    -158.107376      1507
20191019T101141.23_5DAB2FAC.MER.DET.WLT5           -29.925808    -157.732742      1508
20191020T154456.23_5DAED3C8.MER.DET.WLT5           -29.943525    -157.716705      1509
20191021T104610.23_5DAED3C8.MER.DET.WLT5           -29.949116    -157.706741      1515
20191022T042146.23_5DAED3C8.MER.DET.WLT5           -29.954287    -157.697525      1517
20191024T191932.23_5DB56E5C.MER.DET.WLT5           -29.981178    -157.672974      1512
20191029T081908.23_5DBC0817.MER.DET.WLT5           -29.979042    -157.613159      1520
20191030T170511.23_5DBC0817.MER.DET.WLT5           -29.979992    -157.594604      1507
20191104T224643.23_5DC0F774.MER.DET.WLT5           -29.976532    -157.503937      1511
20191108T094412.23_5DC595A4.MER.DET.WLT5           -30.002647    -157.427521      1537
20191108T104715.23_5DC595A4.MER.DET.WLT5           -30.003208    -157.426788      1536
20191109T112707.23_5DCA387C.MER.DET.WLT5           -30.019209    -157.404510      1521
20191111T230636.23_5DCA387C.MER.DET.WLT5           -30.041460    -157.389130      1521
20191114T162810.23_5DCDCF08.MER.DET.WLT5           -30.112415    -157.339890      1516
20191123T163805.23_5DDB0948.MER.DET.WLT5           -30.157507    -157.397598      1528
20191206T130806.23_5DEED9E4.MER.DET.WLT5           -30.010651    -157.455551      1493
20191218T015936.23_5DF9D5B9.MER.DET.WLT5           -29.876656    -157.499634      1493
20200105T001952.23_5E14455E.MER.DET.WLT5           -29.606747    -157.646347      1486
20200105T023253.23_5E14455E.MER.DET.WLT5           -29.605448    -157.646881      1487
20200109T172553.23_5E181E3A.MER.DET.WLT5           -29.524883    -157.688431      1516
20200110T010823.23_5E181E3A.MER.DET.WLT5           -29.518774    -157.693237      1522
20200206T060320.23_5E3FC2C0.MER.DET.WLT5           -28.998438    -157.986618      1490
20200210T074944.23_5E42DB0E.MER.DET.WLT5           -28.913240    -157.980057      1510
20200211T104158.23_5E42DB0E.MER.DET.WLT5           -28.898197    -157.964600      1522
20200211T110934.23_5E42DB0E.MER.DET.WLT5           -28.897940    -157.964340      1520
20200305T131403.23_5E63EC18.MER.DET.WLT5           -29.004019    -157.794861      1503
20200311T195633.23_5E6992E8.MER.DET.WLT5           -29.082010    -157.762695      1522
20200313T172223.23_5E702F3A.MER.DET.WLT5           -29.103895    -157.761215      1529
20200314T100318.23_5E702F3A.MER.DET.WLT5           -29.112694    -157.760544      1527
20200325T030032.23_5E7B1A08.MER.DET.WLT5           -29.211630    -157.708893      1516
20200406T180740.23_5E8BBF4A.MER.DET.WLT5           -29.246927    -157.547943      1499
20200412T225954.23_5E98F9CF.MER.DET.WLT5           -29.284781    -157.421707      1520
20200414T010900.23_5E98F9CF.MER.DET.WLT5           -29.286358    -157.385925      1527
20200414T183927.23_5E98F9CF.MER.DET.WLT5           -29.287415    -157.361969      1526
20200422T223357.23_5EA62FCE.MER.DET.WLT5           -29.362923    -157.170731      1491
20200506T140342.23_5EB31314.MER.DET.WLT5           -29.483442    -156.834320      1540
20200528T072118.23_5ED41E84.MER.DET.WLT5           -29.871317    -156.644226      1537
20200528T094918.23_5ED41E84.MER.DET.WLT5           -29.871986    -156.644394      1536
20200610T043204.23_5EE15617.MER.DET.WLT5           -29.862432    -156.676254      1519
20200618T125232.23_5EEE8D40.MER.DET.WLT5           -29.902618    -156.652985      1532
20200618T131314.23_5EEE8D40.MER.DET.WLT5           -29.902756    -156.652878      1532
20200707T053524.23_5F090264.MER.DET.WLT5           -29.923143    -156.460129      1518
20200717T025830.23_5F136666.MER.DET.WLT5           -29.849854    -156.355759      1497
20200718T153555.23_5F136666.MER.DET.WLT5           -29.839945    -156.354843      1505
20200725T054651.23_5F20A0A0.MER.DET.WLT5           -29.832285    -156.340729      1520
20200730T191940.23_5F273DCE.MER.DET.WLT5           -29.815514    -156.326157      1514
20200801T200539.23_6091F8EA.MER.REQ.WLT5           -29.801914    -156.316223    -12345
