-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1484.7817  1031.6877 34.3376 4.6865
-50000.00 980.00 1484.7166  1031.7430 34.3394 4.6292
-50000.00 990.00 1484.6514  1031.7982 34.3413 4.5718
-50000.00 1000.00 1484.5863  1031.8535 34.3432 4.5144
-50000.00 1010.00 1484.5285  1031.9088 34.3454 4.4589
-50000.00 1020.00 1484.4893  1031.9641 34.3485 4.4080
-50000.00 1030.00 1484.4501  1032.0194 34.3517 4.3572
-50000.00 1040.00 1484.4108  1032.0746 34.3548 4.3063
-50000.00 1050.00 1484.3716  1032.1299 34.3580 4.2554
-50000.00 1060.00 1484.3324  1032.1852 34.3611 4.2045
-50000.00 1070.00 1484.2932  1032.2405 34.3643 4.1537
-50000.00 1080.00 1484.2540  1032.2958 34.3674 4.1028
-50000.00 1090.00 1484.2147  1032.3511 34.3705 4.0519
-50000.00 1100.00 1484.1755  1032.4064 34.3737 4.0010
-50000.00 1110.00 1484.1474  1032.4616 34.3772 3.9529
-50000.00 1120.00 1484.1353  1032.5166 34.3812 3.9087
-50000.00 1130.00 1484.1231  1032.5716 34.3853 3.8644
-50000.00 1140.00 1484.1110  1032.6267 34.3893 3.8202
-50000.00 1150.00 1484.0989  1032.6817 34.3933 3.7760
-50000.00 1160.00 1484.0868  1032.7367 34.3974 3.7317
-50000.00 1170.00 1484.0746  1032.7918 34.4014 3.6875
-50000.00 1180.00 1484.0625  1032.8468 34.4054 3.6433
-50000.00 1190.00 1484.0504  1032.9019 34.4094 3.5990
-50000.00 1200.00 1484.0383  1032.9569 34.4135 3.5548
-50000.00 1210.00 1484.0389  1033.0117 34.4177 3.5137
-50000.00 1220.00 1484.0555  1033.0661 34.4222 3.4764
-50000.00 1230.00 1484.0720  1033.1205 34.4267 3.4391
-50000.00 1240.00 1484.0885  1033.1750 34.4311 3.4017
-50000.00 1250.00 1484.1050  1033.2294 34.4356 3.3644
-50000.00 1260.00 1484.1215  1033.2839 34.4401 3.3271
-50000.00 1270.00 1484.1381  1033.3383 34.4445 3.2898
-50000.00 1280.00 1484.1546  1033.3928 34.4490 3.2525
-50000.00 1290.00 1484.1711  1033.4472 34.4535 3.2152
-50000.00 1300.00 1484.1876  1033.5016 34.4580 3.1779
-50000.00 1310.00 1484.2157  1033.5557 34.4624 3.1434
-50000.00 1320.00 1484.2628  1033.6091 34.4667 3.1134
-50000.00 1330.00 1484.3100  1033.6624 34.4711 3.0834
-50000.00 1340.00 1484.3571  1033.7158 34.4754 3.0535
-50000.00 1350.00 1484.4042  1033.7692 34.4798 3.0235
-50000.00 1360.00 1484.4513  1033.8226 34.4841 2.9935
-50000.00 1370.00 1484.4984  1033.8759 34.4884 2.9636
-50000.00 1380.00 1484.5455  1033.9293 34.4928 2.9336
-50000.00 1390.00 1484.5926  1033.9827 34.4971 2.9036
-50000.00 1400.00 1484.6397  1034.0361 34.5015 2.8737
-50000.00 1410.00 1484.6893  1034.0893 34.5058 2.8443
-50000.00 1420.00 1484.7668  1034.1412 34.5094 2.8217
-50000.00 1430.00 1484.8443  1034.1932 34.5131 2.7990
-50000.00 1440.00 1484.9218  1034.2451 34.5168 2.7763
-50000.00 1450.00 1484.9993  1034.2970 34.5205 2.7536
-50000.00 1460.00 1485.0768  1034.3489 34.5242 2.7310
-50000.00 1470.00 1485.1542  1034.4008 34.5279 2.7083
-50000.00 1480.00 1485.2317  1034.4527 34.5315 2.6856
-50000.00 1490.00 1485.3092  1034.5046 34.5352 2.6629
-50000.00 1500.00 1485.3867  1034.5565 34.5389 2.6403
-50000.00 1510.00 1485.4642  1034.6085 34.5426 2.6176
-50000.00 1520.00 1485.5492  1034.6599 34.5460 2.5967
-50000.00 1530.00 1485.6528  1034.7103 34.5488 2.5803
-50000.00 1540.00 1485.7564  1034.7606 34.5516 2.5639
-50000.00 1550.00 1485.8600  1034.8110 34.5544 2.5475
-50000.00 1560.00 1485.9636  1034.8614 34.5571 2.5311
-50000.00 1570.00 1486.0672  1034.9117 34.5599 2.5147
-50000.00 1580.00 1486.1708  1034.9621 34.5627 2.4983
-50000.00 1590.00 1486.2744  1035.0124 34.5655 2.4819
-50000.00 1600.00 1486.3780  1035.0628 34.5683 2.4655
-50000.00 1610.00 1486.4816  1035.1132 34.5710 2.4491
-50000.00 1620.00 1486.5851  1035.1635 34.5738 2.4327
-50000.00 1630.00 1486.6887  1035.2139 34.5766 2.4162
-50000.00 1640.00 1486.8034  1035.2635 34.5789 2.4025
-50000.00 1650.00 1486.9260  1035.3126 34.5808 2.3906
-50000.00 1660.00 1487.0487  1035.3617 34.5828 2.3787
-50000.00 1670.00 1487.1713  1035.4108 34.5847 2.3669
-50000.00 1680.00 1487.2939  1035.4598 34.5866 2.3550
-50000.00 1690.00 1487.4166  1035.5089 34.5886 2.3431
-50000.00 1700.00 1487.5392  1035.5580 34.5905 2.3312
-50000.00 1710.00 1487.6618  1035.6071 34.5925 2.3194
-50000.00 1720.00 1487.7844  1035.6562 34.5944 2.3075
-50000.00 1730.00 1487.9071  1035.7053 34.5964 2.2956
-50000.00 1740.00 1488.0297  1035.7543 34.5983 2.2837
-50000.00 1750.00 1488.1523  1035.8034 34.6002 2.2719
-50000.00 1760.00 1488.2750  1035.8525 34.6022 2.2600
-50000.00 1770.00 1488.4034  1035.9012 34.6038 2.2495
-50000.00 1780.00 1488.5381  1035.9493 34.6051 2.2404
-50000.00 1790.00 1488.6728  1035.9975 34.6064 2.2314
-50000.00 1800.00 1488.8074  1036.0457 34.6078 2.2223
-50000.00 1810.00 1488.9421  1036.0938 34.6091 2.2133
-50000.00 1820.00 1489.0767  1036.1420 34.6104 2.2042
-50000.00 1830.00 1489.2114  1036.1902 34.6117 2.1952
-50000.00 1840.00 1489.3461  1036.2383 34.6130 2.1861
-50000.00 1850.00 1489.4807  1036.2865 34.6143 2.1771
-50000.00 1860.00 1489.6154  1036.3347 34.6157 2.1680
-50000.00 1870.00 1489.7500  1036.3828 34.6170 2.1590
-50000.00 1880.00 1489.8847  1036.4310 34.6183 2.1499
-50000.00 1890.00 1490.0194  1036.4792 34.6196 2.1409
-50000.00 1900.00 1490.1540  1036.5273 34.6209 2.1318
-50000.00 1910.00 1490.2887  1036.5755 34.6222 2.1228
-50000.00 1920.00 1490.4275  1036.6233 34.6233 2.1147
-50000.00 1930.00 1490.5693  1036.6709 34.6242 2.1072
-50000.00 1940.00 1490.7112  1036.7184 34.6251 2.0998
-50000.00 1950.00 1490.8530  1036.7660 34.6260 2.0924
-50000.00 1960.00 1490.9948  1036.8135 34.6269 2.0849
-50000.00 1970.00 1491.1366  1036.8611 34.6278 2.0775
-50000.00 1980.00 1491.2785  1036.9087 34.6287 2.0701
-50000.00 1990.00 1491.4203  1036.9562 34.6296 2.0626
-50000.00 2000.00 1491.5621  1037.0038 34.6305 2.0552
-50000.00 2010.00 1491.7039  1037.0513 34.6314 2.0477
-50000.00 2020.00 1491.8457  1037.0989 34.6323 2.0403
-50000.00 2030.00 1491.9876  1037.1464 34.6332 2.0329
-50000.00 2040.00 1492.1294  1037.1940 34.6341 2.0254
-50000.00 2050.00 1492.2712  1037.2415 34.6350 2.0180
-50000.00 2060.00 1492.4130  1037.2891 34.6359 2.0106
-50000.00 2070.00 1492.5549  1037.3367 34.6369 2.0031
-50000.00 2080.00 1492.6967  1037.3842 34.6378 1.9957
-50000.00 2090.00 1492.8412  1037.4315 34.6385 1.9888
-50000.00 2100.00 1492.9876  1037.4786 34.6392 1.9823
-50000.00 2110.00 1493.1340  1037.5258 34.6398 1.9759
-50000.00 2120.00 1493.2803  1037.5729 34.6404 1.9694
-50000.00 2130.00 1493.4267  1037.6200 34.6411 1.9629
-50000.00 2140.00 1493.5731  1037.6672 34.6417 1.9564
-50000.00 2150.00 1493.7195  1037.7143 34.6424 1.9499
-50000.00 2160.00 1493.8658  1037.7614 34.6430 1.9434
-50000.00 2170.00 1494.0122  1037.8086 34.6437 1.9369
-50000.00 2180.00 1494.1586  1037.8557 34.6443 1.9304
-50000.00 2190.00 1494.3050  1037.9028 34.6450 1.9240
-50000.00 2200.00 1494.4513  1037.9500 34.6456 1.9175
-50000.00 2210.00 1494.5977  1037.9971 34.6463 1.9110
