-50000.00 0.00 55559.75 2010.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1481.2888  1031.8487 34.3963 3.8308
-50000.00 980.00 1481.3239  1031.9030 34.4011 3.7975
-50000.00 990.00 1481.3590  1031.9574 34.4060 3.7641
-50000.00 1000.00 1481.3940  1032.0117 34.4108 3.7308
-50000.00 1010.00 1481.4380  1032.0657 34.4156 3.6996
-50000.00 1020.00 1481.5044  1032.1187 34.4201 3.6739
-50000.00 1030.00 1481.5709  1032.1718 34.4246 3.6482
-50000.00 1040.00 1481.6373  1032.2249 34.4292 3.6225
-50000.00 1050.00 1481.7037  1032.2779 34.4337 3.5968
-50000.00 1060.00 1481.7701  1032.3310 34.4382 3.5711
-50000.00 1070.00 1481.8365  1032.3841 34.4427 3.5454
-50000.00 1080.00 1481.9029  1032.4371 34.4472 3.5197
-50000.00 1090.00 1481.9694  1032.4902 34.4517 3.4940
-50000.00 1100.00 1482.0358  1032.5432 34.4562 3.4683
-50000.00 1110.00 1482.1099  1032.5958 34.4604 3.4445
-50000.00 1120.00 1482.1950  1032.6476 34.4641 3.4235
-50000.00 1130.00 1482.2802  1032.6994 34.4679 3.4025
-50000.00 1140.00 1482.3653  1032.7513 34.4716 3.3815
-50000.00 1150.00 1482.4505  1032.8031 34.4753 3.3604
-50000.00 1160.00 1482.5356  1032.8549 34.4790 3.3394
-50000.00 1170.00 1482.6208  1032.9067 34.4827 3.3184
-50000.00 1180.00 1482.7059  1032.9585 34.4864 3.2974
-50000.00 1190.00 1482.7911  1033.0103 34.4901 3.2764
-50000.00 1200.00 1482.8762  1033.0622 34.4939 3.2554
-50000.00 1210.00 1482.9649  1033.1136 34.4972 3.2353
-50000.00 1220.00 1483.0579  1033.1645 34.5002 3.2164
-50000.00 1230.00 1483.1509  1033.2154 34.5031 3.1975
-50000.00 1240.00 1483.2438  1033.2663 34.5061 3.1785
-50000.00 1250.00 1483.3368  1033.3173 34.5090 3.1596
-50000.00 1260.00 1483.4298  1033.3682 34.5120 3.1407
-50000.00 1270.00 1483.5228  1033.4191 34.5150 3.1217
-50000.00 1280.00 1483.6158  1033.4700 34.5179 3.1028
-50000.00 1290.00 1483.7088  1033.5210 34.5209 3.0839
-50000.00 1300.00 1483.8018  1033.5719 34.5238 3.0649
-50000.00 1310.00 1483.8962  1033.6226 34.5265 3.0464
-50000.00 1320.00 1483.9931  1033.6729 34.5289 3.0286
-50000.00 1330.00 1484.0899  1033.7232 34.5313 3.0107
-50000.00 1340.00 1484.1868  1033.7735 34.5337 2.9928
-50000.00 1350.00 1484.2836  1033.8239 34.5361 2.9750
-50000.00 1360.00 1484.3804  1033.8742 34.5385 2.9571
-50000.00 1370.00 1484.4773  1033.9245 34.5409 2.9392
-50000.00 1380.00 1484.5741  1033.9748 34.5433 2.9214
-50000.00 1390.00 1484.6709  1034.0251 34.5457 2.9035
-50000.00 1400.00 1484.7678  1034.0755 34.5481 2.8856
-50000.00 1410.00 1484.8649  1034.1257 34.5505 2.8678
-50000.00 1420.00 1484.9650  1034.1756 34.5525 2.8508
-50000.00 1430.00 1485.0652  1034.2255 34.5545 2.8338
-50000.00 1440.00 1485.1653  1034.2754 34.5566 2.8168
-50000.00 1450.00 1485.2655  1034.3253 34.5586 2.7998
-50000.00 1460.00 1485.3656  1034.3752 34.5606 2.7828
-50000.00 1470.00 1485.4657  1034.4250 34.5626 2.7658
-50000.00 1480.00 1485.5659  1034.4749 34.5646 2.7488
-50000.00 1490.00 1485.6660  1034.5248 34.5667 2.7318
-50000.00 1500.00 1485.7661  1034.5747 34.5687 2.7148
-50000.00 1510.00 1485.8663  1034.6246 34.5707 2.6978
-50000.00 1520.00 1485.9677  1034.6743 34.5726 2.6812
-50000.00 1530.00 1486.0723  1034.7238 34.5744 2.6653
-50000.00 1540.00 1486.1768  1034.7732 34.5761 2.6493
-50000.00 1550.00 1486.2814  1034.8227 34.5778 2.6334
-50000.00 1560.00 1486.3860  1034.8722 34.5795 2.6175
-50000.00 1570.00 1486.4905  1034.9216 34.5813 2.6016
-50000.00 1580.00 1486.5951  1034.9711 34.5830 2.5857
-50000.00 1590.00 1486.6997  1035.0206 34.5847 2.5698
-50000.00 1600.00 1486.8042  1035.0700 34.5864 2.5539
-50000.00 1610.00 1486.9088  1035.1195 34.5882 2.5380
-50000.00 1620.00 1487.0133  1035.1689 34.5899 2.5220
-50000.00 1630.00 1487.1179  1035.2184 34.5916 2.5061
-50000.00 1640.00 1487.2265  1035.2676 34.5932 2.4912
-50000.00 1650.00 1487.3379  1035.3166 34.5946 2.4769
-50000.00 1660.00 1487.4494  1035.3656 34.5961 2.4625
-50000.00 1670.00 1487.5608  1035.4146 34.5975 2.4482
-50000.00 1680.00 1487.6723  1035.4636 34.5989 2.4339
-50000.00 1690.00 1487.7837  1035.5126 34.6004 2.4196
-50000.00 1700.00 1487.8952  1035.5616 34.6018 2.4053
-50000.00 1710.00 1488.0066  1035.6106 34.6033 2.3910
-50000.00 1720.00 1488.1181  1035.6596 34.6047 2.3767
-50000.00 1730.00 1488.2295  1035.7086 34.6062 2.3624
-50000.00 1740.00 1488.3410  1035.7576 34.6076 2.3481
-50000.00 1750.00 1488.4524  1035.8066 34.6091 2.3338
-50000.00 1760.00 1488.5639  1035.8556 34.6105 2.3195
-50000.00 1770.00 1488.6799  1035.9044 34.6118 2.3063
-50000.00 1780.00 1488.8007  1035.9528 34.6130 2.2941
-50000.00 1790.00 1488.9214  1036.0013 34.6142 2.2819
-50000.00 1800.00 1489.0422  1036.0498 34.6153 2.2698
-50000.00 1810.00 1489.1630  1036.0982 34.6165 2.2576
-50000.00 1820.00 1489.2838  1036.1467 34.6177 2.2454
-50000.00 1830.00 1489.4046  1036.1951 34.6188 2.2332
-50000.00 1840.00 1489.5253  1036.2436 34.6200 2.2211
-50000.00 1850.00 1489.6461  1036.2921 34.6212 2.2089
-50000.00 1860.00 1489.7669  1036.3405 34.6224 2.1967
-50000.00 1870.00 1489.8877  1036.3890 34.6235 2.1845
-50000.00 1880.00 1490.0084  1036.4375 34.6247 2.1724
-50000.00 1890.00 1490.1292  1036.4859 34.6259 2.1602
-50000.00 1900.00 1490.2500  1036.5344 34.6271 2.1480
-50000.00 1910.00 1490.3708  1036.5829 34.6282 2.1359
-50000.00 1920.00 1490.4977  1036.6310 34.6293 2.1251
-50000.00 1930.00 1490.6290  1036.6789 34.6302 2.1152
-50000.00 1940.00 1490.7603  1036.7268 34.6311 2.1054
-50000.00 1950.00 1490.8916  1036.7747 34.6320 2.0956
-50000.00 1960.00 1491.0230  1036.8226 34.6330 2.0858
-50000.00 1970.00 1491.1543  1036.8705 34.6339 2.0759
-50000.00 1980.00 1491.2856  1036.9184 34.6348 2.0661
-50000.00 1990.00 1491.4169  1036.9663 34.6357 2.0563
-50000.00 2000.00 1491.5482  1037.0142 34.6367 2.0465
-50000.00 2010.00 1491.6795  1037.0621 34.6376 2.0366
-44973.35 0.00 1510.6915  1025.0318 34.2402 16.5909
-44973.35 10.00 1510.7655  1025.0824 34.2387 16.5600
-44973.35 20.00 1510.6889  1025.1426 34.2352 16.4805
-44973.35 30.00 1510.2232  1025.2274 34.2262 16.2763
-44973.35 40.00 1509.2662  1025.3423 34.2109 15.9167
-44973.35 50.00 1507.9016  1025.4805 34.1909 15.4320
-44973.35 60.00 1506.3259  1025.6279 34.1686 14.8879
-44973.35 70.00 1504.7238  1025.7727 34.1461 14.3434
-44973.35 80.00 1503.2269  1025.9070 34.1242 13.8384
-44973.35 90.00 1501.8921  1026.0278 34.1024 13.3892
-44973.35 100.00 1500.7251  1026.1355 34.0805 12.9954
-44973.35 110.00 1499.7304  1026.2326 34.0603 12.6561
-44973.35 120.00 1498.8790  1026.3226 34.0436 12.3608
-44973.35 130.00 1498.0829  1026.4117 34.0308 12.0824
-44973.35 140.00 1497.2713  1026.5044 34.0223 11.7997
-44973.35 150.00 1496.4201  1026.6091 34.0273 11.5035
-44973.35 160.00 1495.5902  1026.7224 34.0449 11.2107
-44973.35 170.00 1494.7774  1026.8425 34.0727 10.9208
-44973.35 180.00 1494.0775  1026.9675 34.1149 10.6604
-44973.35 190.00 1493.4132  1027.0940 34.1615 10.4093
-44973.35 200.00 1492.8507  1027.2151 34.2085 10.1882
-44973.35 210.00 1492.3799  1027.3312 34.2559 9.9940
-44973.35 220.00 1491.9091  1027.4473 34.3032 9.7998
-44973.35 230.00 1491.5129  1027.5486 34.3381 9.6323
-44973.35 240.00 1491.1445  1027.6444 34.3684 9.4748
-44973.35 250.00 1490.7761  1027.7402 34.3987 9.3172
-44973.35 260.00 1490.4007  1027.8312 34.4232 9.1604
-44973.35 270.00 1490.0047  1027.9081 34.4307 9.0058
-44973.35 280.00 1489.6087  1027.9850 34.4383 8.8511
-44973.35 290.00 1489.2127  1028.0618 34.4458 8.6965
-44973.35 300.00 1488.8163  1028.1386 34.4533 8.5418
-44973.35 310.00 1488.3596  1028.2045 34.4464 8.3790
-44973.35 320.00 1487.9030  1028.2705 34.4396 8.2162
-44973.35 330.00 1487.4464  1028.3364 34.4327 8.0534
-44973.35 340.00 1486.9898  1028.4023 34.4258 7.8906
-44973.35 350.00 1486.5332  1028.4683 34.4190 7.7278
-44973.35 360.00 1486.1233  1028.5281 34.4088 7.5815
-44973.35 370.00 1485.7169  1028.5875 34.3985 7.4364
-44973.35 380.00 1485.3104  1028.6469 34.3881 7.2913
-44973.35 390.00 1484.9039  1028.7063 34.3777 7.1462
-44973.35 400.00 1484.4975  1028.7657 34.3674 7.0011
-44973.35 410.00 1484.0921  1028.8251 34.3570 6.8562
-44973.35 420.00 1483.8414  1028.8799 34.3495 6.7525
-44973.35 430.00 1483.5906  1028.9348 34.3421 6.6488
-44973.35 440.00 1483.3399  1028.9897 34.3346 6.5451
-44973.35 450.00 1483.0892  1029.0446 34.3271 6.4414
-44973.35 460.00 1482.8384  1029.0994 34.3196 6.3377
-44973.35 470.00 1482.5877  1029.1543 34.3122 6.2340
-44973.35 480.00 1482.3729  1029.2087 34.3058 6.1393
-44973.35 490.00 1482.2642  1029.2616 34.3026 6.0713
-44973.35 500.00 1482.1555  1029.3146 34.2994 6.0032
-44973.35 510.00 1482.0469  1029.3675 34.2962 5.9351
-44973.35 520.00 1481.9382  1029.4204 34.2930 5.8671
-44973.35 530.00 1481.8295  1029.4733 34.2898 5.7990
-44973.35 540.00 1481.7208  1029.5263 34.2866 5.7309
-44973.35 550.00 1481.6121  1029.5792 34.2834 5.6629
-44973.35 560.00 1481.5542  1029.6321 34.2824 5.6072
-44973.35 570.00 1481.5152  1029.6850 34.2823 5.5561
-44973.35 580.00 1481.4761  1029.7380 34.2822 5.5049
-44973.35 590.00 1481.4371  1029.7909 34.2821 5.4538
-44973.35 600.00 1481.3981  1029.8438 34.2820 5.4027
-44973.35 610.00 1481.3590  1029.8967 34.2819 5.3516
-44973.35 620.00 1481.3200  1029.9497 34.2817 5.3005
-44973.35 630.00 1481.2809  1030.0026 34.2816 5.2494
-44973.35 640.00 1481.2532  1030.0559 34.2825 5.2009
-44973.35 650.00 1481.2355  1030.1096 34.2843 5.1549
-44973.35 660.00 1481.2178  1030.1633 34.2861 5.1089
-44973.35 670.00 1481.2002  1030.2169 34.2879 5.0629
-44973.35 680.00 1481.1825  1030.2706 34.2897 5.0168
-44973.35 690.00 1481.1649  1030.3243 34.2915 4.9708
-44973.35 700.00 1481.1472  1030.3779 34.2932 4.9248
-44973.35 710.00 1481.1296  1030.4316 34.2950 4.8788
-44973.35 720.00 1481.1119  1030.4853 34.2968 4.8328
-44973.35 730.00 1481.1009  1030.5395 34.2996 4.7883
-44973.35 740.00 1481.0919  1030.5940 34.3028 4.7444
-44973.35 750.00 1481.0829  1030.6484 34.3060 4.7005
-44973.35 760.00 1481.0740  1030.7028 34.3091 4.6565
-44973.35 770.00 1481.0650  1030.7572 34.3123 4.6126
-44973.35 780.00 1481.0560  1030.8117 34.3154 4.5686
-44973.35 790.00 1481.0471  1030.8661 34.3186 4.5247
-44973.35 800.00 1481.0381  1030.9205 34.3218 4.4808
-44973.35 810.00 1481.0291  1030.9749 34.3249 4.4368
-44973.35 820.00 1481.0284  1031.0296 34.3287 4.3949
-44973.35 830.00 1481.0344  1031.0844 34.3331 4.3545
-44973.35 840.00 1481.0404  1031.1392 34.3374 4.3141
-44973.35 850.00 1481.0463  1031.1941 34.3417 4.2738
-44973.35 860.00 1481.0523  1031.2489 34.3460 4.2334
-44973.35 870.00 1481.0583  1031.3037 34.3503 4.1931
-44973.35 880.00 1481.0642  1031.3586 34.3547 4.1527
-44973.35 890.00 1481.0702  1031.4134 34.3590 4.1124
-44973.35 900.00 1481.0762  1031.4682 34.3633 4.0720
-44973.35 910.00 1481.0829  1031.5230 34.3677 4.0318
-44973.35 920.00 1481.1181  1031.5774 34.3725 3.9985
-44973.35 930.00 1481.1534  1031.6317 34.3774 3.9652
-44973.35 940.00 1481.1886  1031.6860 34.3822 3.9319
-44973.35 950.00 1481.2238  1031.7403 34.3871 3.8986
-44973.35 960.00 1481.2591  1031.7946 34.3919 3.8653
-44973.35 970.00 1481.2943  1031.8490 34.3968 3.8320
-44973.35 980.00 1481.3295  1031.9033 34.4017 3.7987
-44973.35 990.00 1481.3648  1031.9576 34.4065 3.7654
-44973.35 1000.00 1481.4000  1032.0119 34.4114 3.7320
-44973.35 1010.00 1481.4441  1032.0659 34.4161 3.7009
-44973.35 1020.00 1481.5105  1032.1189 34.4206 3.6752
-44973.35 1030.00 1481.5770  1032.1720 34.4251 3.6495
-44973.35 1040.00 1481.6434  1032.2251 34.4296 3.6238
-44973.35 1050.00 1481.7099  1032.2781 34.4341 3.5981
-44973.35 1060.00 1481.7763  1032.3312 34.4386 3.5724
-44973.35 1070.00 1481.8427  1032.3842 34.4431 3.5467
-44973.35 1080.00 1481.9092  1032.4373 34.4476 3.5210
-44973.35 1090.00 1481.9756  1032.4903 34.4521 3.4953
-44973.35 1100.00 1482.0421  1032.5434 34.4566 3.4696
-44973.35 1110.00 1482.1161  1032.5959 34.4608 3.4458
-44973.35 1120.00 1482.2011  1032.6477 34.4645 3.4248
-44973.35 1130.00 1482.2861  1032.6995 34.4682 3.4037
-44973.35 1140.00 1482.3711  1032.7514 34.4719 3.3827
-44973.35 1150.00 1482.4561  1032.8032 34.4756 3.3617
-44973.35 1160.00 1482.5410  1032.8550 34.4793 3.3406
-44973.35 1170.00 1482.6260  1032.9068 34.4830 3.3196
-44973.35 1180.00 1482.7110  1032.9586 34.4867 3.2985
-44973.35 1190.00 1482.7960  1033.0104 34.4904 3.2775
-44973.35 1200.00 1482.8810  1033.0622 34.4941 3.2564
-44973.35 1210.00 1482.9695  1033.1136 34.4975 3.2363
-44973.35 1220.00 1483.0623  1033.1646 34.5004 3.2173
-44973.35 1230.00 1483.1551  1033.2155 34.5034 3.1984
