-50000.00 0.00 55559.75 1420.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1482.7154  1031.8822 34.4868 4.1423
-50000.00 980.00 1482.7364  1031.9359 34.4903 4.1057
-50000.00 990.00 1482.7574  1031.9896 34.4938 4.0692
-50000.00 1000.00 1482.7784  1032.0432 34.4973 4.0327
-50000.00 1010.00 1482.8038  1032.0965 34.5005 3.9974
-50000.00 1020.00 1482.8404  1032.1487 34.5029 3.9652
-50000.00 1030.00 1482.8771  1032.2009 34.5053 3.9330
-50000.00 1040.00 1482.9137  1032.2531 34.5077 3.9007
-50000.00 1050.00 1482.9503  1032.3052 34.5101 3.8685
-50000.00 1060.00 1482.9870  1032.3574 34.5125 3.8363
-50000.00 1070.00 1483.0236  1032.4096 34.5149 3.8041
-50000.00 1080.00 1483.0602  1032.4618 34.5173 3.7719
-50000.00 1090.00 1483.0969  1032.5140 34.5197 3.7396
-50000.00 1100.00 1483.1335  1032.5662 34.5221 3.7074
-50000.00 1110.00 1483.1749  1032.6180 34.5242 3.6765
-50000.00 1120.00 1483.2232  1032.6693 34.5260 3.6473
-50000.00 1130.00 1483.2714  1032.7206 34.5278 3.6182
-50000.00 1140.00 1483.3197  1032.7718 34.5296 3.5891
-50000.00 1150.00 1483.3679  1032.8231 34.5314 3.5600
-50000.00 1160.00 1483.4162  1032.8744 34.5331 3.5308
-50000.00 1170.00 1483.4644  1032.9256 34.5349 3.5017
-50000.00 1180.00 1483.5127  1032.9769 34.5367 3.4726
-50000.00 1190.00 1483.5610  1033.0282 34.5385 3.4435
-50000.00 1200.00 1483.6092  1033.0795 34.5403 3.4143
-50000.00 1210.00 1483.6613  1033.1305 34.5419 3.3862
-50000.00 1220.00 1483.7181  1033.1811 34.5433 3.3593
-50000.00 1230.00 1483.7749  1033.2318 34.5447 3.3325
-50000.00 1240.00 1483.8318  1033.2825 34.5462 3.3056
-50000.00 1250.00 1483.8886  1033.3332 34.5476 3.2787
-50000.00 1260.00 1483.9454  1033.3838 34.5490 3.2518
-50000.00 1270.00 1484.0022  1033.4345 34.5504 3.2249
-50000.00 1280.00 1484.0591  1033.4852 34.5519 3.1980
-50000.00 1290.00 1484.1159  1033.5358 34.5533 3.1711
-50000.00 1300.00 1484.1727  1033.5865 34.5547 3.1443
-50000.00 1310.00 1484.2326  1033.6370 34.5561 3.1181
-50000.00 1320.00 1484.2975  1033.6873 34.5573 3.0933
-50000.00 1330.00 1484.3624  1033.7375 34.5585 3.0684
-50000.00 1340.00 1484.4273  1033.7877 34.5598 3.0436
-50000.00 1350.00 1484.4922  1033.8380 34.5610 3.0187
-50000.00 1360.00 1484.5570  1033.8882 34.5622 2.9938
-50000.00 1370.00 1484.6219  1033.9384 34.5634 2.9690
-50000.00 1380.00 1484.6868  1033.9887 34.5647 2.9441
-50000.00 1390.00 1484.7517  1034.0389 34.5659 2.9192
-50000.00 1400.00 1484.8166  1034.0892 34.5671 2.8944
-50000.00 1410.00 1484.8824  1034.1393 34.5684 2.8697
-50000.00 1420.00 1484.9583  1034.1891 34.5695 2.8475
-44973.35 0.00 1540.9209  1022.5247 35.0926 27.8180
-44973.35 10.00 1541.0594  1022.5738 35.0939 27.8026
-44973.35 20.00 1541.1442  1022.6338 35.0983 27.7613
-44973.35 30.00 1541.0803  1022.7240 35.1119 27.6478
-44973.35 40.00 1540.8501  1022.8446 35.1322 27.4562
-44973.35 50.00 1540.5221  1022.9779 35.1517 27.2222
-44973.35 60.00 1540.1596  1023.1129 35.1685 26.9758
-44973.35 70.00 1539.7719  1023.2493 35.1841 26.7208
-44973.35 80.00 1539.3212  1023.3937 35.2001 26.4400
-44973.35 90.00 1538.7494  1023.5533 35.2161 26.1091
-44973.35 100.00 1537.9852  1023.7346 35.2298 25.7005
-44973.35 110.00 1536.9608  1023.9404 35.2364 25.1906
-44973.35 120.00 1535.6636  1024.1648 35.2304 24.5816
-44973.35 130.00 1534.1506  1024.3971 35.2106 23.9019
-44973.35 140.00 1532.5039  1024.6290 35.1800 23.1856
-44973.35 150.00 1530.8163  1024.8458 35.1397 22.4775
-44973.35 160.00 1529.1686  1025.0492 35.0967 21.7983
-44973.35 170.00 1527.5533  1025.2417 35.0516 21.1424
-44973.35 180.00 1526.0242  1025.4153 35.0059 20.5359
-44973.35 190.00 1524.5223  1025.5830 34.9599 19.9452
-44973.35 200.00 1523.0835  1025.7391 34.9149 19.3882
-44973.35 210.00 1521.7014  1025.8849 34.8709 18.8618
-44973.35 220.00 1520.3193  1026.0307 34.8268 18.3354
-44973.35 230.00 1519.0045  1026.1641 34.7853 17.8470
-44973.35 240.00 1517.7147  1026.2929 34.7446 17.3728
-44973.35 250.00 1516.4250  1026.4217 34.7040 16.8986
-44973.35 260.00 1515.1467  1026.5475 34.6644 16.4334
-44973.35 270.00 1513.9024  1026.6642 34.6278 15.9945
-44973.35 280.00 1512.6581  1026.7810 34.5913 15.5557
-44973.35 290.00 1511.4138  1026.8978 34.5548 15.1169
-44973.35 300.00 1510.1698  1027.0145 34.5183 14.6783
-44973.35 310.00 1508.9698  1027.1215 34.4881 14.2732
-44973.35 320.00 1507.7699  1027.2286 34.4579 13.8681
-44973.35 330.00 1506.5699  1027.3356 34.4277 13.4630
-44973.35 340.00 1505.3699  1027.4427 34.3974 13.0579
-44973.35 350.00 1504.1699  1027.5497 34.3672 12.6528
-44973.35 360.00 1503.0678  1027.6480 34.3459 12.2929
-44973.35 370.00 1501.9728  1027.7457 34.3252 11.9362
-44973.35 380.00 1500.8778  1027.8433 34.3044 11.5796
-44973.35 390.00 1499.7828  1027.9410 34.2837 11.2230
-44973.35 400.00 1498.6877  1028.0386 34.2630 10.8664
-44973.35 410.00 1497.5941  1028.1362 34.2424 10.5102
-44973.35 420.00 1496.6956  1028.2244 34.2331 10.2216
-44973.35 430.00 1495.7970  1028.3127 34.2239 9.9330
-44973.35 440.00 1494.8985  1028.4009 34.2146 9.6444
-44973.35 450.00 1493.9999  1028.4892 34.2053 9.3558
-44973.35 460.00 1493.1014  1028.5774 34.1961 9.0672
-44973.35 470.00 1492.2029  1028.6657 34.1868 8.7786
-44973.35 480.00 1491.3744  1028.7516 34.1802 8.5106
-44973.35 490.00 1490.7526  1028.8308 34.1813 8.3036
-44973.35 500.00 1490.1309  1028.9099 34.1824 8.0965
-44973.35 510.00 1489.5091  1028.9891 34.1836 7.8894
-44973.35 520.00 1488.8874  1029.0682 34.1847 7.6823
-44973.35 530.00 1488.2657  1029.1474 34.1858 7.4752
-44973.35 540.00 1487.6439  1029.2265 34.1870 7.2681
-44973.35 550.00 1487.0222  1029.3057 34.1881 7.0610
-44973.35 560.00 1486.6083  1029.3789 34.1940 6.9099
-44973.35 570.00 1486.2717  1029.4498 34.2018 6.7795
-44973.35 580.00 1485.9351  1029.5208 34.2095 6.6491
-44973.35 590.00 1485.5985  1029.5918 34.2173 6.5187
-44973.35 600.00 1485.2619  1029.6628 34.2251 6.3883
-44973.35 610.00 1484.9253  1029.7338 34.2328 6.2580
-44973.35 620.00 1484.5887  1029.8047 34.2406 6.1276
-44973.35 630.00 1484.2521  1029.8757 34.2483 5.9972
-44973.35 640.00 1484.0218  1029.9433 34.2571 5.8943
-44973.35 650.00 1483.8872  1030.0078 34.2667 5.8161
-44973.35 660.00 1483.7525  1030.0723 34.2764 5.7379
-44973.35 670.00 1483.6179  1030.1367 34.2860 5.6597
