-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1482.7248  1031.8824 34.4873 4.1443
-50000.00 980.00 1482.7453  1031.9360 34.4908 4.1077
-50000.00 990.00 1482.7659  1031.9897 34.4942 4.0711
-50000.00 1000.00 1482.7865  1032.0433 34.4977 4.0345
-50000.00 1010.00 1482.8116  1032.0966 34.5009 3.9991
-50000.00 1020.00 1482.8479  1032.1488 34.5033 3.9668
-50000.00 1030.00 1482.8843  1032.2009 34.5057 3.9345
-50000.00 1040.00 1482.9206  1032.2531 34.5080 3.9023
-50000.00 1050.00 1482.9569  1032.3053 34.5104 3.8700
-50000.00 1060.00 1482.9933  1032.3575 34.5128 3.8377
-50000.00 1070.00 1483.0296  1032.4097 34.5152 3.8054
-50000.00 1080.00 1483.0659  1032.4619 34.5176 3.7731
-50000.00 1090.00 1483.1022  1032.5141 34.5200 3.7408
-50000.00 1100.00 1483.1386  1032.5663 34.5223 3.7085
-50000.00 1110.00 1483.1797  1032.6181 34.5245 3.6775
-50000.00 1120.00 1483.2278  1032.6693 34.5262 3.6483
-50000.00 1130.00 1483.2758  1032.7206 34.5280 3.6192
-50000.00 1140.00 1483.3239  1032.7719 34.5298 3.5900
-50000.00 1150.00 1483.3719  1032.8232 34.5316 3.5608
-50000.00 1160.00 1483.4200  1032.8744 34.5333 3.5317
-50000.00 1170.00 1483.4680  1032.9257 34.5351 3.5025
-50000.00 1180.00 1483.5161  1032.9770 34.5369 3.4733
-50000.00 1190.00 1483.5641  1033.0282 34.5387 3.4442
-50000.00 1200.00 1483.6122  1033.0795 34.5404 3.4150
-50000.00 1210.00 1483.6641  1033.1305 34.5421 3.3868
-50000.00 1220.00 1483.7209  1033.1812 34.5435 3.3599
-50000.00 1230.00 1483.7776  1033.2319 34.5449 3.3330
-50000.00 1240.00 1483.8344  1033.2825 34.5463 3.3061
-50000.00 1250.00 1483.8911  1033.3332 34.5477 3.2792
