-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1481.2889  1031.8489 34.3965 3.8308
-50000.00 980.00 1481.3241  1031.9033 34.4014 3.7974
-50000.00 990.00 1481.3592  1031.9576 34.4063 3.7641
-50000.00 1000.00 1481.3944  1032.0119 34.4111 3.7308
-50000.00 1010.00 1481.4385  1032.0659 34.4159 3.6996
-50000.00 1020.00 1481.5050  1032.1189 34.4204 3.6740
-50000.00 1030.00 1481.5714  1032.1720 34.4249 3.6483
-50000.00 1040.00 1481.6379  1032.2250 34.4294 3.6226
-50000.00 1050.00 1481.7044  1032.2781 34.4339 3.5969
-50000.00 1060.00 1481.7708  1032.3312 34.4384 3.5712
-50000.00 1070.00 1481.8373  1032.3842 34.4429 3.5455
-50000.00 1080.00 1481.9038  1032.4373 34.4474 3.5198
-50000.00 1090.00 1481.9702  1032.4903 34.4519 3.4941
-50000.00 1100.00 1482.0367  1032.5434 34.4564 3.4684
-50000.00 1110.00 1482.1108  1032.5959 34.4606 3.4446
-50000.00 1120.00 1482.1959  1032.6477 34.4643 3.4236
-50000.00 1130.00 1482.2810  1032.6996 34.4680 3.4026
-50000.00 1140.00 1482.3661  1032.7514 34.4717 3.3816
-50000.00 1150.00 1482.4512  1032.8032 34.4754 3.3606
-50000.00 1160.00 1482.5363  1032.8550 34.4792 3.3395
-50000.00 1170.00 1482.6214  1032.9068 34.4829 3.3185
-50000.00 1180.00 1482.7065  1032.9586 34.4866 3.2975
-50000.00 1190.00 1482.7916  1033.0104 34.4903 3.2765
-50000.00 1200.00 1482.8767  1033.0622 34.4940 3.2555
-50000.00 1210.00 1482.9653  1033.1137 34.4973 3.2354
-50000.00 1220.00 1483.0583  1033.1646 34.5003 3.2164
-50000.00 1230.00 1483.1512  1033.2155 34.5032 3.1975
-50000.00 1240.00 1483.2441  1033.2664 34.5062 3.1786
-50000.00 1250.00 1483.3371  1033.3173 34.5091 3.1596
-50000.00 1260.00 1483.4300  1033.3683 34.5121 3.1407
-50000.00 1270.00 1483.5229  1033.4192 34.5150 3.1217
-50000.00 1280.00 1483.6159  1033.4701 34.5180 3.1028
-50000.00 1290.00 1483.7088  1033.5210 34.5209 3.0839
-50000.00 1300.00 1483.8017  1033.5719 34.5239 3.0649
-50000.00 1310.00 1483.8961  1033.6226 34.5266 3.0464
-50000.00 1320.00 1483.9929  1033.6729 34.5290 3.0285
