-50000.00 0.00 55559.75 5400.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1486.2443  1031.6481 34.3483 5.0377
-50000.00 980.00 1486.1480  1031.7037 34.3490 4.9726
-50000.00 990.00 1486.0518  1031.7592 34.3496 4.9075
-50000.00 1000.00 1485.9555  1031.8147 34.3503 4.8425
-50000.00 1010.00 1485.8645  1031.8704 34.3514 4.7787
-50000.00 1020.00 1485.7867  1031.9266 34.3539 4.7184
-50000.00 1030.00 1485.7088  1031.9827 34.3564 4.6581
-50000.00 1040.00 1485.6309  1032.0388 34.3589 4.5978
-50000.00 1050.00 1485.5530  1032.0949 34.3614 4.5375
-50000.00 1060.00 1485.4752  1032.1511 34.3639 4.4772
-50000.00 1070.00 1485.3973  1032.2072 34.3664 4.4169
-50000.00 1080.00 1485.3194  1032.2633 34.3688 4.3566
-50000.00 1090.00 1485.2415  1032.3194 34.3713 4.2963
-50000.00 1100.00 1485.1637  1032.3756 34.3738 4.2359
-50000.00 1110.00 1485.0994  1032.4316 34.3768 4.1790
-50000.00 1120.00 1485.0548  1032.4875 34.3806 4.1269
-50000.00 1130.00 1485.0102  1032.5435 34.3844 4.0749
-50000.00 1140.00 1484.9656  1032.5994 34.3882 4.0228
-50000.00 1150.00 1484.9209  1032.6553 34.3920 3.9708
-50000.00 1160.00 1484.8763  1032.7112 34.3958 3.9187
-50000.00 1170.00 1484.8317  1032.7671 34.3996 3.8666
-50000.00 1180.00 1484.7871  1032.8231 34.4034 3.8146
-50000.00 1190.00 1484.7425  1032.8790 34.4072 3.7625
-50000.00 1200.00 1484.6979  1032.9349 34.4110 3.7104
-50000.00 1210.00 1484.6728  1032.9904 34.4150 3.6631
-50000.00 1220.00 1484.6719  1033.0453 34.4194 3.6216
-50000.00 1230.00 1484.6710  1033.1002 34.4238 3.5801
-50000.00 1240.00 1484.6701  1033.1551 34.4281 3.5386
-50000.00 1250.00 1484.6692  1033.2101 34.4325 3.4972
-50000.00 1260.00 1484.6683  1033.2650 34.4369 3.4557
-50000.00 1270.00 1484.6674  1033.3199 34.4413 3.4142
-50000.00 1280.00 1484.6665  1033.3748 34.4456 3.3727
-50000.00 1290.00 1484.6656  1033.4298 34.4500 3.3312
-50000.00 1300.00 1484.6647  1033.4847 34.4544 3.2898
-50000.00 1310.00 1484.6808  1033.5390 34.4587 3.2523
-50000.00 1320.00 1484.7247  1033.5925 34.4629 3.2216
-50000.00 1330.00 1484.7687  1033.6459 34.4672 3.1908
-50000.00 1340.00 1484.8126  1033.6993 34.4715 3.1601
-50000.00 1350.00 1484.8565  1033.7527 34.4757 3.1293
-50000.00 1360.00 1484.9004  1033.8061 34.4800 3.0986
-50000.00 1370.00 1484.9444  1033.8595 34.4842 3.0678
-50000.00 1380.00 1484.9883  1033.9130 34.4885 3.0371
-50000.00 1390.00 1485.0322  1033.9664 34.4927 3.0063
-50000.00 1400.00 1485.0762  1034.0198 34.4970 2.9755
-50000.00 1410.00 1485.1233  1034.0731 34.5012 2.9455
-50000.00 1420.00 1485.2043  1034.1249 34.5048 2.9236
-50000.00 1430.00 1485.2854  1034.1766 34.5085 2.9017
-50000.00 1440.00 1485.3665  1034.2284 34.5121 2.8799
-50000.00 1450.00 1485.4476  1034.2802 34.5157 2.8580
-50000.00 1460.00 1485.5287  1034.3320 34.5194 2.8361
-50000.00 1470.00 1485.6098  1034.3838 34.5230 2.8142
-50000.00 1480.00 1485.6908  1034.4356 34.5267 2.7923
-50000.00 1490.00 1485.7719  1034.4873 34.5303 2.7704
-50000.00 1500.00 1485.8530  1034.5391 34.5340 2.7485
-50000.00 1510.00 1485.9341  1034.5909 34.5376 2.7266
-50000.00 1520.00 1486.0227  1034.6423 34.5410 2.7065
-50000.00 1530.00 1486.1299  1034.6925 34.5438 2.6908
-50000.00 1540.00 1486.2370  1034.7428 34.5466 2.6752
-50000.00 1550.00 1486.3441  1034.7931 34.5494 2.6595
-50000.00 1560.00 1486.4512  1034.8433 34.5522 2.6439
-50000.00 1570.00 1486.5584  1034.8936 34.5550 2.6282
-50000.00 1580.00 1486.6655  1034.9439 34.5578 2.6125
-50000.00 1590.00 1486.7726  1034.9942 34.5606 2.5969
-50000.00 1600.00 1486.8798  1035.0444 34.5634 2.5812
-50000.00 1610.00 1486.9869  1035.0947 34.5662 2.5656
-50000.00 1620.00 1487.0940  1035.1450 34.5690 2.5499
-50000.00 1630.00 1487.2011  1035.1953 34.5718 2.5343
-50000.00 1640.00 1487.3179  1035.2448 34.5741 2.5209
-50000.00 1650.00 1487.4415  1035.2939 34.5761 2.5092
-50000.00 1660.00 1487.5651  1035.3430 34.5781 2.4975
-50000.00 1670.00 1487.6887  1035.3920 34.5800 2.4858
-50000.00 1680.00 1487.8123  1035.4411 34.5820 2.4741
-50000.00 1690.00 1487.9360  1035.4902 34.5839 2.4624
-50000.00 1700.00 1488.0596  1035.5392 34.5859 2.4507
-50000.00 1710.00 1488.1832  1035.5883 34.5879 2.4390
-50000.00 1720.00 1488.3068  1035.6374 34.5898 2.4274
-50000.00 1730.00 1488.4304  1035.6864 34.5918 2.4157
-50000.00 1740.00 1488.5540  1035.7355 34.5938 2.4040
-50000.00 1750.00 1488.6777  1035.7846 34.5957 2.3923
-50000.00 1760.00 1488.8013  1035.8336 34.5977 2.3806
-50000.00 1770.00 1488.9297  1035.8823 34.5993 2.3700
-50000.00 1780.00 1489.0631  1035.9305 34.6007 2.3606
-50000.00 1790.00 1489.1965  1035.9787 34.6020 2.3513
-50000.00 1800.00 1489.3300  1036.0269 34.6033 2.3419
-50000.00 1810.00 1489.4634  1036.0751 34.6047 2.3326
-50000.00 1820.00 1489.5968  1036.1233 34.6060 2.3232
-50000.00 1830.00 1489.7303  1036.1715 34.6073 2.3138
-50000.00 1840.00 1489.8637  1036.2197 34.6086 2.3045
-50000.00 1850.00 1489.9971  1036.2679 34.6100 2.2951
-50000.00 1860.00 1490.1306  1036.3161 34.6113 2.2858
-50000.00 1870.00 1490.2640  1036.3643 34.6126 2.2764
-50000.00 1880.00 1490.3974  1036.4125 34.6139 2.2670
-50000.00 1890.00 1490.5309  1036.4607 34.6153 2.2577
-50000.00 1900.00 1490.6643  1036.5089 34.6166 2.2483
-50000.00 1910.00 1490.7977  1036.5571 34.6179 2.2389
-50000.00 1920.00 1490.9345  1036.6050 34.6190 2.2303
-50000.00 1930.00 1491.0737  1036.6526 34.6200 2.2223
-50000.00 1940.00 1491.2129  1036.7002 34.6209 2.2142
-50000.00 1950.00 1491.3521  1036.7479 34.6218 2.2062
-50000.00 1960.00 1491.4914  1036.7955 34.6228 2.1981
-50000.00 1970.00 1491.6306  1036.8432 34.6237 2.1900
-50000.00 1980.00 1491.7698  1036.8908 34.6246 2.1820
-50000.00 1990.00 1491.9090  1036.9385 34.6256 2.1739
-50000.00 2000.00 1492.0482  1036.9861 34.6265 2.1659
-50000.00 2010.00 1492.1874  1037.0338 34.6274 2.1578
-50000.00 2020.00 1492.3266  1037.0814 34.6284 2.1498
-50000.00 2030.00 1492.4658  1037.1290 34.6293 2.1417
-50000.00 2040.00 1492.6050  1037.1767 34.6302 2.1336
-50000.00 2050.00 1492.7442  1037.2243 34.6311 2.1256
-50000.00 2060.00 1492.8834  1037.2720 34.6321 2.1175
-50000.00 2070.00 1493.0226  1037.3196 34.6330 2.1095
-50000.00 2080.00 1493.1618  1037.3673 34.6339 2.1014
-50000.00 2090.00 1493.3034  1037.4147 34.6348 2.0938
-50000.00 2100.00 1493.4465  1037.4620 34.6355 2.0866
-50000.00 2110.00 1493.5896  1037.5093 34.6362 2.0793
-50000.00 2120.00 1493.7328  1037.5565 34.6369 2.0721
-50000.00 2130.00 1493.8759  1037.6038 34.6376 2.0648
-50000.00 2140.00 1494.0190  1037.6511 34.6383 2.0575
-50000.00 2150.00 1494.1622  1037.6984 34.6391 2.0503
-50000.00 2160.00 1494.3053  1037.7457 34.6398 2.0430
-50000.00 2170.00 1494.4484  1037.7929 34.6405 2.0358
-50000.00 2180.00 1494.5915  1037.8402 34.6412 2.0285
-50000.00 2190.00 1494.7347  1037.8875 34.6419 2.0212
-50000.00 2200.00 1494.8778  1037.9348 34.6427 2.0140
-50000.00 2210.00 1495.0209  1037.9821 34.6434 2.0067
-50000.00 2220.00 1495.1641  1038.0293 34.6441 1.9995
-50000.00 2230.00 1495.3072  1038.0766 34.6448 1.9922
-50000.00 2240.00 1495.4503  1038.1239 34.6455 1.9850
-50000.00 2250.00 1495.5934  1038.1712 34.6462 1.9777
-50000.00 2260.00 1495.7366  1038.2184 34.6470 1.9704
-50000.00 2270.00 1495.8797  1038.2657 34.6477 1.9632
-50000.00 2280.00 1496.0241  1038.3129 34.6484 1.9561
-50000.00 2290.00 1496.1705  1038.3599 34.6490 1.9495
-50000.00 2300.00 1496.3169  1038.4070 34.6496 1.9428
-50000.00 2310.00 1496.4633  1038.4540 34.6503 1.9362
-50000.00 2320.00 1496.6097  1038.5010 34.6509 1.9295
-50000.00 2330.00 1496.7561  1038.5480 34.6515 1.9228
-50000.00 2340.00 1496.9026  1038.5950 34.6522 1.9162
-50000.00 2350.00 1497.0490  1038.6421 34.6528 1.9095
-50000.00 2360.00 1497.1954  1038.6891 34.6534 1.9028
-50000.00 2370.00 1497.3418  1038.7361 34.6541 1.8962
-50000.00 2380.00 1497.4882  1038.7831 34.6547 1.8895
-50000.00 2390.00 1497.6347  1038.8302 34.6553 1.8828
-50000.00 2400.00 1497.7811  1038.8772 34.6559 1.8762
