-50000.00 0.00 55559.75 4850.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 486                           #nx nz
-50000.00 0.00 1543.2784  1022.8379 35.8174 28.5218
-50000.00 10.00 1543.4213  1022.8866 35.8189 28.5081
-50000.00 20.00 1543.5550  1022.9407 35.8247 28.4878
-50000.00 30.00 1543.6395  1023.0123 35.8412 28.4390
-50000.00 40.00 1543.6357  1023.1089 35.8700 28.3427
-50000.00 50.00 1543.5301  1023.2307 35.9095 28.1940
-50000.00 60.00 1543.3335  1023.3742 35.9578 27.9993
-50000.00 70.00 1543.0603  1023.5379 36.0162 27.7656
-50000.00 80.00 1542.6837  1023.7255 36.0851 27.4811
-50000.00 90.00 1542.1474  1023.9409 36.1603 27.1241
-50000.00 100.00 1541.3895  1024.1858 36.2358 26.6728
-50000.00 110.00 1540.3808  1024.4514 36.2997 26.1239
-50000.00 120.00 1539.2129  1024.7106 36.3384 25.5279
-50000.00 130.00 1538.0597  1024.9362 36.3480 24.9620
-50000.00 140.00 1537.0304  1025.1209 36.3349 24.4673
-50000.00 150.00 1536.1441  1025.2643 36.3011 24.0502
-50000.00 160.00 1535.2309  1025.3980 36.2558 23.6325
-50000.00 170.00 1534.2960  1025.5237 36.2012 23.2143
-50000.00 180.00 1533.1212  1025.6532 36.1261 22.7210
-50000.00 190.00 1531.8708  1025.7839 36.0445 22.2041
-50000.00 200.00 1530.3474  1025.9245 35.9499 21.6032
-50000.00 210.00 1528.5784  1026.0740 35.8436 20.9268
-50000.00 220.00 1526.8095  1026.2235 35.7373 20.2504
-50000.00 230.00 1524.7562  1026.3802 35.6300 19.5067
-50000.00 240.00 1522.5972  1026.5394 35.5224 18.7380
-50000.00 250.00 1520.4382  1026.6987 35.4149 17.9692
-50000.00 260.00 1518.2881  1026.8546 35.3137 17.2156
-50000.00 270.00 1516.1642  1027.0004 35.2316 16.5068
-50000.00 280.00 1514.0402  1027.1463 35.1495 15.7980
-50000.00 290.00 1511.9163  1027.2921 35.0674 15.0893
-50000.00 300.00 1509.7951  1027.4378 34.9856 14.3816
-50000.00 310.00 1508.0740  1027.5577 34.9368 13.8341
-50000.00 320.00 1506.3528  1027.6775 34.8880 13.2865
-50000.00 330.00 1504.6316  1027.7974 34.8391 12.7390
-50000.00 340.00 1502.9104  1027.9173 34.7903 12.1915
-50000.00 350.00 1501.1893  1028.0371 34.7415 11.6439
-50000.00 360.00 1499.9955  1028.1330 34.7170 11.2677
-50000.00 370.00 1498.8403  1028.2270 34.6942 10.9041
-50000.00 380.00 1497.6850  1028.3211 34.6715 10.5404
-50000.00 390.00 1496.5297  1028.4152 34.6488 10.1767
-50000.00 400.00 1495.3745  1028.5093 34.6261 9.8130
-50000.00 410.00 1494.2230  1028.6032 34.6034 9.4504
-50000.00 420.00 1493.5989  1028.6776 34.5957 9.2405
-50000.00 430.00 1492.9748  1028.7519 34.5879 9.0306
-50000.00 440.00 1492.3508  1028.8262 34.5802 8.8207
-50000.00 450.00 1491.7267  1028.9006 34.5725 8.6107
-50000.00 460.00 1491.1027  1028.9749 34.5647 8.4008
-50000.00 470.00 1490.4786  1029.0492 34.5570 8.1909
-50000.00 480.00 1489.9324  1029.1207 34.5505 8.0024
-50000.00 490.00 1489.6163  1029.1838 34.5479 7.8771
-50000.00 500.00 1489.3001  1029.2470 34.5453 7.7519
-50000.00 510.00 1488.9839  1029.3101 34.5427 7.6266
-50000.00 520.00 1488.6677  1029.3732 34.5401 7.5014
-50000.00 530.00 1488.3515  1029.4363 34.5375 7.3761
-50000.00 540.00 1488.0353  1029.4994 34.5349 7.2509
-50000.00 550.00 1487.7191  1029.5625 34.5323 7.1256
-50000.00 560.00 1487.4920  1029.6220 34.5304 7.0248
-50000.00 570.00 1487.2980  1029.6802 34.5288 6.9330
-50000.00 580.00 1487.1041  1029.7384 34.5272 6.8412
-50000.00 590.00 1486.9101  1029.7965 34.5256 6.7494
-50000.00 600.00 1486.7162  1029.8547 34.5240 6.6576
-50000.00 610.00 1486.5222  1029.9129 34.5224 6.5658
-50000.00 620.00 1486.3283  1029.9711 34.5208 6.4741
-50000.00 630.00 1486.1343  1030.0292 34.5192 6.3823
-50000.00 640.00 1485.9757  1030.0861 34.5179 6.3001
-50000.00 650.00 1485.8489  1030.1418 34.5170 6.2265
-50000.00 660.00 1485.7220  1030.1975 34.5161 6.1528
-50000.00 670.00 1485.5952  1030.2532 34.5152 6.0792
-50000.00 680.00 1485.4683  1030.3090 34.5143 6.0056
-50000.00 690.00 1485.3415  1030.3647 34.5134 5.9320
-50000.00 700.00 1485.2146  1030.4204 34.5125 5.8584
-50000.00 710.00 1485.0878  1030.4761 34.5115 5.7848
-50000.00 720.00 1484.9610  1030.5318 34.5106 5.7111
-50000.00 730.00 1484.8754  1030.5863 34.5103 5.6483
-50000.00 740.00 1484.8029  1030.6405 34.5102 5.5889
-50000.00 750.00 1484.7304  1030.6946 34.5101 5.5295
-50000.00 760.00 1484.6580  1030.7487 34.5100 5.4701
-50000.00 770.00 1484.5855  1030.8029 34.5099 5.4107
-50000.00 780.00 1484.5130  1030.8570 34.5098 5.3513
-50000.00 790.00 1484.4405  1030.9111 34.5097 5.2919
-50000.00 800.00 1484.3680  1030.9653 34.5097 5.2325
-50000.00 810.00 1484.2955  1031.0194 34.5096 5.1731
-50000.00 820.00 1484.2455  1031.0730 34.5098 5.1194
-50000.00 830.00 1484.2136  1031.1261 34.5104 5.0704
-50000.00 840.00 1484.1817  1031.1792 34.5110 5.0213
-50000.00 850.00 1484.1499  1031.2323 34.5115 4.9723
-50000.00 860.00 1484.1180  1031.2854 34.5121 4.9233
-50000.00 870.00 1484.0861  1031.3385 34.5127 4.8742
-50000.00 880.00 1484.0542  1031.3916 34.5133 4.8252
-50000.00 890.00 1484.0224  1031.4448 34.5138 4.7762
-50000.00 900.00 1483.9905  1031.4979 34.5144 4.7271
-50000.00 910.00 1483.9593  1031.5510 34.5150 4.6783
-50000.00 920.00 1483.9550  1031.6034 34.5160 4.6362
-50000.00 930.00 1483.9507  1031.6558 34.5170 4.5942
-50000.00 940.00 1483.9464  1031.7083 34.5180 4.5521
-50000.00 950.00 1483.9421  1031.7607 34.5190 4.5101
-50000.00 960.00 1483.9378  1031.8132 34.5200 4.4680
-50000.00 970.00 1483.9335  1031.8656 34.5210 4.4260
-50000.00 980.00 1483.9292  1031.9180 34.5221 4.3839
-50000.00 990.00 1483.9249  1031.9705 34.5231 4.3419
-50000.00 1000.00 1483.9206  1032.0229 34.5241 4.2998
-50000.00 1010.00 1483.9217  1032.0752 34.5252 4.2591
-50000.00 1020.00 1483.9362  1032.1271 34.5264 4.2218
-50000.00 1030.00 1483.9508  1032.1790 34.5276 4.1846
-50000.00 1040.00 1483.9654  1032.2310 34.5289 4.1473
-50000.00 1050.00 1483.9800  1032.2829 34.5301 4.1100
-50000.00 1060.00 1483.9946  1032.3348 34.5313 4.0727
-50000.00 1070.00 1484.0092  1032.3867 34.5325 4.0355
-50000.00 1080.00 1484.0238  1032.4387 34.5338 3.9982
-50000.00 1090.00 1484.0383  1032.4906 34.5350 3.9609
-50000.00 1100.00 1484.0529  1032.5425 34.5362 3.9236
-50000.00 1110.00 1484.0738  1032.5942 34.5375 3.8880
-50000.00 1120.00 1484.1038  1032.6457 34.5388 3.8545
-50000.00 1130.00 1484.1338  1032.6971 34.5401 3.8211
-50000.00 1140.00 1484.1638  1032.7485 34.5414 3.7877
-50000.00 1150.00 1484.1938  1032.8000 34.5427 3.7543
-50000.00 1160.00 1484.2238  1032.8514 34.5440 3.7209
-50000.00 1170.00 1484.2538  1032.9028 34.5453 3.6875
-50000.00 1180.00 1484.2838  1032.9543 34.5467 3.6541
-50000.00 1190.00 1484.3137  1033.0057 34.5480 3.6207
-50000.00 1200.00 1484.3437  1033.0572 34.5493 3.5873
-50000.00 1210.00 1484.3803  1033.1084 34.5506 3.5555
-50000.00 1220.00 1484.4250  1033.1593 34.5519 3.5257
-50000.00 1230.00 1484.4697  1033.2103 34.5532 3.4960
-50000.00 1240.00 1484.5144  1033.2612 34.5545 3.4662
-50000.00 1250.00 1484.5591  1033.3122 34.5559 3.4364
-50000.00 1260.00 1484.6038  1033.3631 34.5572 3.4066
-50000.00 1270.00 1484.6485  1033.4141 34.5585 3.3768
-50000.00 1280.00 1484.6932  1033.4650 34.5598 3.3471
-50000.00 1290.00 1484.7379  1033.5160 34.5612 3.3173
-50000.00 1300.00 1484.7826  1033.5669 34.5625 3.2875
-50000.00 1310.00 1484.8329  1033.6177 34.5638 3.2591
-50000.00 1320.00 1484.8923  1033.6681 34.5651 3.2328
-50000.00 1330.00 1484.9517  1033.7186 34.5664 3.2066
-50000.00 1340.00 1485.0111  1033.7690 34.5678 3.1804
-50000.00 1350.00 1485.0705  1033.8195 34.5691 3.1541
-50000.00 1360.00 1485.1299  1033.8700 34.5704 3.1279
-50000.00 1370.00 1485.1893  1033.9204 34.5717 3.1017
-50000.00 1380.00 1485.2487  1033.9709 34.5730 3.0754
-50000.00 1390.00 1485.3081  1034.0214 34.5743 3.0492
-50000.00 1400.00 1485.3676  1034.0718 34.5757 3.0230
-50000.00 1410.00 1485.4282  1034.1222 34.5770 2.9970
-50000.00 1420.00 1485.5025  1034.1722 34.5782 2.9743
-50000.00 1430.00 1485.5769  1034.2221 34.5795 2.9516
-50000.00 1440.00 1485.6512  1034.2721 34.5808 2.9289
-50000.00 1450.00 1485.7255  1034.3220 34.5821 2.9062
-50000.00 1460.00 1485.7998  1034.3720 34.5833 2.8835
-50000.00 1470.00 1485.8741  1034.4219 34.5846 2.8608
-50000.00 1480.00 1485.9484  1034.4719 34.5859 2.8381
-50000.00 1490.00 1486.0228  1034.5218 34.5872 2.8154
-50000.00 1500.00 1486.0971  1034.5718 34.5884 2.7927
-50000.00 1510.00 1486.1714  1034.6217 34.5897 2.7700
-50000.00 1520.00 1486.2502  1034.6715 34.5910 2.7484
-50000.00 1530.00 1486.3399  1034.7209 34.5921 2.7293
-50000.00 1540.00 1486.4296  1034.7703 34.5933 2.7101
-50000.00 1550.00 1486.5193  1034.8196 34.5945 2.6910
-50000.00 1560.00 1486.6090  1034.8690 34.5957 2.6719
-50000.00 1570.00 1486.6988  1034.9184 34.5969 2.6528
-50000.00 1580.00 1486.7885  1034.9678 34.5981 2.6337
-50000.00 1590.00 1486.8782  1035.0172 34.5992 2.6146
-50000.00 1600.00 1486.9679  1035.0666 34.6004 2.5955
-50000.00 1610.00 1487.0576  1035.1159 34.6016 2.5764
-50000.00 1620.00 1487.1473  1035.1653 34.6028 2.5573
-50000.00 1630.00 1487.2370  1035.2147 34.6040 2.5382
-50000.00 1640.00 1487.3357  1035.2637 34.6051 2.5211
-50000.00 1650.00 1487.4408  1035.3125 34.6061 2.5055
-50000.00 1660.00 1487.5459  1035.3613 34.6072 2.4900
-50000.00 1670.00 1487.6510  1035.4101 34.6082 2.4744
-50000.00 1680.00 1487.7561  1035.4589 34.6093 2.4588
-50000.00 1690.00 1487.8612  1035.5077 34.6103 2.4432
-50000.00 1700.00 1487.9663  1035.5565 34.6114 2.4277
-50000.00 1710.00 1488.0714  1035.6053 34.6124 2.4121
-50000.00 1720.00 1488.1765  1035.6541 34.6135 2.3965
-50000.00 1730.00 1488.2816  1035.7028 34.6145 2.3809
-50000.00 1740.00 1488.3867  1035.7516 34.6155 2.3654
-50000.00 1750.00 1488.4918  1035.8004 34.6166 2.3498
-50000.00 1760.00 1488.5970  1035.8492 34.6176 2.3342
-50000.00 1770.00 1488.7089  1035.8977 34.6186 2.3202
-50000.00 1780.00 1488.8281  1035.9459 34.6195 2.3078
-50000.00 1790.00 1488.9473  1035.9941 34.6204 2.2954
-50000.00 1800.00 1489.0666  1036.0423 34.6213 2.2830
-50000.00 1810.00 1489.1858  1036.0906 34.6222 2.2706
-50000.00 1820.00 1489.3050  1036.1388 34.6231 2.2582
-50000.00 1830.00 1489.4242  1036.1870 34.6239 2.2458
-50000.00 1840.00 1489.5434  1036.2352 34.6248 2.2335
-50000.00 1850.00 1489.6626  1036.2834 34.6257 2.2211
-50000.00 1860.00 1489.7818  1036.3316 34.6266 2.2087
-50000.00 1870.00 1489.9010  1036.3798 34.6275 2.1963
-50000.00 1880.00 1490.0202  1036.4280 34.6284 2.1839
-50000.00 1890.00 1490.1395  1036.4762 34.6293 2.1715
-50000.00 1900.00 1490.2587  1036.5244 34.6302 2.1591
-50000.00 1910.00 1490.3779  1036.5726 34.6310 2.1467
-50000.00 1920.00 1490.5040  1036.6205 34.6318 2.1359
-50000.00 1930.00 1490.6351  1036.6682 34.6326 2.1261
-50000.00 1940.00 1490.7662  1036.7159 34.6333 2.1164
-50000.00 1950.00 1490.8973  1036.7635 34.6340 2.1066
-50000.00 1960.00 1491.0284  1036.8112 34.6347 2.0969
-50000.00 1970.00 1491.1595  1036.8589 34.6355 2.0871
-50000.00 1980.00 1491.2906  1036.9066 34.6362 2.0773
-50000.00 1990.00 1491.4217  1036.9542 34.6369 2.0676
-50000.00 2000.00 1491.5528  1037.0019 34.6376 2.0578
-50000.00 2010.00 1491.6838  1037.0496 34.6383 2.0481
-50000.00 2020.00 1491.8149  1037.0972 34.6391 2.0383
-50000.00 2030.00 1491.9460  1037.1449 34.6398 2.0285
-50000.00 2040.00 1492.0771  1037.1926 34.6405 2.0188
-50000.00 2050.00 1492.2082  1037.2403 34.6412 2.0090
-50000.00 2060.00 1492.3393  1037.2879 34.6420 1.9993
-50000.00 2070.00 1492.4704  1037.3356 34.6427 1.9895
-50000.00 2080.00 1492.6015  1037.3833 34.6434 1.9798
-50000.00 2090.00 1492.7380  1037.4307 34.6440 1.9712
-50000.00 2100.00 1492.8782  1037.4779 34.6446 1.9634
-50000.00 2110.00 1493.0184  1037.5251 34.6452 1.9556
-50000.00 2120.00 1493.1586  1037.5723 34.6457 1.9478
-50000.00 2130.00 1493.2988  1037.6195 34.6463 1.9400
-50000.00 2140.00 1493.4391  1037.6667 34.6469 1.9322
-50000.00 2150.00 1493.5793  1037.7139 34.6474 1.9244
-50000.00 2160.00 1493.7195  1037.7611 34.6480 1.9165
-50000.00 2170.00 1493.8597  1037.8083 34.6486 1.9087
-50000.00 2180.00 1493.9999  1037.8555 34.6491 1.9009
-50000.00 2190.00 1494.1401  1037.9027 34.6497 1.8931
-50000.00 2200.00 1494.2803  1037.9500 34.6502 1.8853
-50000.00 2210.00 1494.4205  1037.9972 34.6508 1.8775
-50000.00 2220.00 1494.5607  1038.0444 34.6514 1.8697
-50000.00 2230.00 1494.7009  1038.0916 34.6519 1.8619
-50000.00 2240.00 1494.8411  1038.1388 34.6525 1.8541
-50000.00 2250.00 1494.9814  1038.1860 34.6531 1.8463
-50000.00 2260.00 1495.1216  1038.2332 34.6536 1.8385
-50000.00 2270.00 1495.2618  1038.2804 34.6542 1.8307
-50000.00 2280.00 1495.4046  1038.3275 34.6547 1.8235
-50000.00 2290.00 1495.5516  1038.3743 34.6551 1.8171
-50000.00 2300.00 1495.6987  1038.4211 34.6556 1.8107
-50000.00 2310.00 1495.8457  1038.4679 34.6560 1.8043
-50000.00 2320.00 1495.9928  1038.5147 34.6564 1.7979
-50000.00 2330.00 1496.1399  1038.5615 34.6569 1.7915
-50000.00 2340.00 1496.2869  1038.6083 34.6573 1.7851
-50000.00 2350.00 1496.4340  1038.6551 34.6577 1.7787
-50000.00 2360.00 1496.5810  1038.7019 34.6581 1.7723
-50000.00 2370.00 1496.7281  1038.7487 34.6586 1.7659
-50000.00 2380.00 1496.8751  1038.7955 34.6590 1.7595
-50000.00 2390.00 1497.0222  1038.8423 34.6594 1.7531
-50000.00 2400.00 1497.1693  1038.8891 34.6599 1.7467
-50000.00 2410.00 1497.3163  1038.9359 34.6603 1.7403
-50000.00 2420.00 1497.4634  1038.9827 34.6607 1.7339
-50000.00 2430.00 1497.6104  1039.0295 34.6611 1.7275
-50000.00 2440.00 1497.7575  1039.0763 34.6616 1.7211
-50000.00 2450.00 1497.9045  1039.1232 34.6620 1.7147
-50000.00 2460.00 1498.0516  1039.1700 34.6624 1.7083
-50000.00 2470.00 1498.1987  1039.2168 34.6629 1.7019
-50000.00 2480.00 1498.3457  1039.2636 34.6633 1.6955
-50000.00 2490.00 1498.4928  1039.3104 34.6637 1.6891
-50000.00 2500.00 1498.6449  1039.3569 34.6641 1.6836
-50000.00 2510.00 1498.7976  1039.4033 34.6644 1.6783
-50000.00 2520.00 1498.9504  1039.4497 34.6647 1.6731
-50000.00 2530.00 1499.1032  1039.4962 34.6650 1.6678
-50000.00 2540.00 1499.2560  1039.5426 34.6653 1.6625
-50000.00 2550.00 1499.4088  1039.5890 34.6656 1.6572
-50000.00 2560.00 1499.5616  1039.6355 34.6659 1.6519
-50000.00 2570.00 1499.7144  1039.6819 34.6663 1.6466
-50000.00 2580.00 1499.8672  1039.7283 34.6666 1.6413
-50000.00 2590.00 1500.0200  1039.7748 34.6669 1.6360
-50000.00 2600.00 1500.1728  1039.8212 34.6672 1.6308
-50000.00 2610.00 1500.3256  1039.8676 34.6675 1.6255
-50000.00 2620.00 1500.4784  1039.9141 34.6678 1.6202
-50000.00 2630.00 1500.6312  1039.9605 34.6682 1.6149
-50000.00 2640.00 1500.7840  1040.0069 34.6685 1.6096
-50000.00 2650.00 1500.9367  1040.0534 34.6688 1.6043
-50000.00 2660.00 1501.0895  1040.0998 34.6691 1.5990
-50000.00 2670.00 1501.2423  1040.1462 34.6694 1.5937
-50000.00 2680.00 1501.3951  1040.1927 34.6697 1.5885
-50000.00 2690.00 1501.5479  1040.2391 34.6701 1.5832
-50000.00 2700.00 1501.7007  1040.2856 34.6704 1.5779
-50000.00 2710.00 1501.8535  1040.3320 34.6707 1.5726
-50000.00 2720.00 1502.0063  1040.3784 34.6710 1.5673
-50000.00 2730.00 1502.1594  1040.4248 34.6713 1.5621
-50000.00 2740.00 1502.3169  1040.4709 34.6716 1.5576
-50000.00 2750.00 1502.4744  1040.5170 34.6718 1.5532
-50000.00 2760.00 1502.6319  1040.5631 34.6720 1.5487
-50000.00 2770.00 1502.7894  1040.6093 34.6723 1.5443
-50000.00 2780.00 1502.9468  1040.6554 34.6725 1.5398
-50000.00 2790.00 1503.1043  1040.7015 34.6727 1.5354
-50000.00 2800.00 1503.2618  1040.7476 34.6730 1.5310
-50000.00 2810.00 1503.4193  1040.7937 34.6732 1.5265
-50000.00 2820.00 1503.5767  1040.8398 34.6735 1.5221
-50000.00 2830.00 1503.7342  1040.8859 34.6737 1.5176
-50000.00 2840.00 1503.8917  1040.9320 34.6739 1.5132
-50000.00 2850.00 1504.0492  1040.9781 34.6742 1.5087
-50000.00 2860.00 1504.2067  1041.0242 34.6744 1.5043
-50000.00 2870.00 1504.3641  1041.0703 34.6746 1.4998
