-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1482.8294  1031.8026 34.4024 4.1982
-50000.00 980.00 1482.8372  1031.8575 34.4069 4.1582
-50000.00 990.00 1482.8450  1031.9124 34.4114 4.1181
-50000.00 1000.00 1482.8528  1031.9673 34.4159 4.0781
-50000.00 1010.00 1482.8648  1032.0219 34.4202 4.0392
-50000.00 1020.00 1482.8874  1032.0759 34.4242 4.0031
-50000.00 1030.00 1482.9101  1032.1298 34.4282 3.9671
-50000.00 1040.00 1482.9327  1032.1838 34.4322 3.9310
-50000.00 1050.00 1482.9554  1032.2377 34.4362 3.8950
-50000.00 1060.00 1482.9780  1032.2917 34.4402 3.8589
-50000.00 1070.00 1483.0006  1032.3456 34.4442 3.8229
-50000.00 1080.00 1483.0233  1032.3995 34.4482 3.7868
-50000.00 1090.00 1483.0459  1032.4535 34.4522 3.7508
-50000.00 1100.00 1483.0686  1032.5074 34.4561 3.7147
-50000.00 1110.00 1483.0942  1032.5610 34.4599 3.6796
-50000.00 1120.00 1483.1240  1032.6141 34.4632 3.6456
-50000.00 1130.00 1483.1539  1032.6672 34.4665 3.6117
-50000.00 1140.00 1483.1837  1032.7204 34.4699 3.5778
-50000.00 1150.00 1483.2136  1032.7735 34.4732 3.5439
-50000.00 1160.00 1483.2434  1032.8266 34.4765 3.5100
-50000.00 1170.00 1483.2733  1032.8797 34.4799 3.4761
-50000.00 1180.00 1483.3031  1032.9328 34.4832 3.4422
-50000.00 1190.00 1483.3330  1032.9859 34.4865 3.4083
-50000.00 1200.00 1483.3628  1033.0390 34.4899 3.3743
-50000.00 1210.00 1483.3984  1033.0917 34.4930 3.3419
-50000.00 1220.00 1483.4411  1033.1439 34.4957 3.3114
-50000.00 1230.00 1483.4837  1033.1961 34.4985 3.2808
-50000.00 1240.00 1483.5264  1033.2483 34.5013 3.2503
-50000.00 1250.00 1483.5691  1033.3005 34.5040 3.2197
-50000.00 1260.00 1483.6117  1033.3527 34.5068 3.1892
-50000.00 1270.00 1483.6544  1033.4049 34.5095 3.1586
-50000.00 1280.00 1483.6971  1033.4571 34.5123 3.1281
-50000.00 1290.00 1483.7398  1033.5093 34.5151 3.0975
-50000.00 1300.00 1483.7824  1033.5615 34.5178 3.0670
-50000.00 1310.00 1483.8329  1033.6133 34.5204 3.0383
-50000.00 1320.00 1483.8961  1033.6645 34.5228 3.0128
-50000.00 1330.00 1483.9593  1033.7157 34.5251 2.9872
-50000.00 1340.00 1484.0225  1033.7669 34.5274 2.9617
-50000.00 1350.00 1484.0857  1033.8181 34.5297 2.9361
-50000.00 1360.00 1484.1489  1033.8693 34.5321 2.9106
-50000.00 1370.00 1484.2121  1033.9205 34.5344 2.8850
-50000.00 1380.00 1484.2753  1033.9717 34.5367 2.8595
-50000.00 1390.00 1484.3385  1034.0229 34.5390 2.8339
-50000.00 1400.00 1484.4017  1034.0741 34.5414 2.8084
-50000.00 1410.00 1484.4667  1034.1252 34.5437 2.7833
-50000.00 1420.00 1484.5517  1034.1755 34.5457 2.7629
-50000.00 1430.00 1484.6368  1034.2258 34.5477 2.7425
-50000.00 1440.00 1484.7218  1034.2761 34.5498 2.7221
-50000.00 1450.00 1484.8068  1034.3264 34.5518 2.7017
-50000.00 1460.00 1484.8918  1034.3767 34.5538 2.6814
-50000.00 1470.00 1484.9769  1034.4270 34.5559 2.6610
-50000.00 1480.00 1485.0619  1034.4773 34.5579 2.6406
-50000.00 1490.00 1485.1469  1034.5276 34.5599 2.6202
-50000.00 1500.00 1485.2319  1034.5779 34.5620 2.5998
-50000.00 1510.00 1485.3170  1034.6282 34.5640 2.5794
-50000.00 1520.00 1485.4077  1034.6782 34.5660 2.5604
-50000.00 1530.00 1485.5122  1034.7277 34.5678 2.5445
-50000.00 1540.00 1485.6168  1034.7772 34.5696 2.5286
-50000.00 1550.00 1485.7213  1034.8267 34.5714 2.5128
-50000.00 1560.00 1485.8258  1034.8762 34.5731 2.4969
-50000.00 1570.00 1485.9304  1034.9256 34.5749 2.4811
-50000.00 1580.00 1486.0349  1034.9751 34.5767 2.4652
-50000.00 1590.00 1486.1395  1035.0246 34.5785 2.4494
-50000.00 1600.00 1486.2440  1035.0741 34.5803 2.4335
-50000.00 1610.00 1486.3486  1035.1236 34.5821 2.4177
-50000.00 1620.00 1486.4531  1035.1731 34.5839 2.4018
-50000.00 1630.00 1486.5577  1035.2226 34.5857 2.3860
-50000.00 1640.00 1486.6716  1035.2716 34.5873 2.3723
-50000.00 1650.00 1486.7924  1035.3204 34.5888 2.3601
