-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1482.6534  1031.8695 34.4755 4.1326
-50000.00 980.00 1482.6983  1031.9226 34.4792 4.1018
-50000.00 990.00 1482.7431  1031.9757 34.4829 4.0709
-50000.00 1000.00 1482.7880  1032.0288 34.4866 4.0400
-50000.00 1010.00 1482.8350  1032.0815 34.4900 4.0098
-50000.00 1020.00 1482.8877  1032.1335 34.4928 3.9812
-50000.00 1030.00 1482.9403  1032.1855 34.4955 3.9526
-50000.00 1040.00 1482.9929  1032.2375 34.4982 3.9240
-50000.00 1050.00 1483.0455  1032.2895 34.5010 3.8955
-50000.00 1060.00 1483.0981  1032.3415 34.5037 3.8669
-50000.00 1070.00 1483.1507  1032.3935 34.5065 3.8383
-50000.00 1080.00 1483.2034  1032.4455 34.5092 3.8097
-50000.00 1090.00 1483.2560  1032.4975 34.5120 3.7812
-50000.00 1100.00 1483.3086  1032.5495 34.5147 3.7526
-50000.00 1110.00 1483.3646  1032.6012 34.5172 3.7249
-50000.00 1120.00 1483.4254  1032.6524 34.5194 3.6986
-50000.00 1130.00 1483.4862  1032.7037 34.5216 3.6722
-50000.00 1140.00 1483.5470  1032.7549 34.5237 3.6459
-50000.00 1150.00 1483.6079  1032.8061 34.5259 3.6195
-50000.00 1160.00 1483.6687  1032.8573 34.5281 3.5932
-50000.00 1170.00 1483.7295  1032.9086 34.5302 3.5668
-50000.00 1180.00 1483.7903  1032.9598 34.5324 3.5405
-50000.00 1190.00 1483.8511  1033.0110 34.5346 3.5141
-50000.00 1200.00 1483.9120  1033.0623 34.5368 3.4878
-50000.00 1210.00 1483.9756  1033.1133 34.5388 3.4622
-50000.00 1220.00 1484.0428  1033.1640 34.5407 3.4375
-50000.00 1230.00 1484.1100  1033.2147 34.5425 3.4129
-50000.00 1240.00 1484.1772  1033.2655 34.5444 3.3882
-50000.00 1250.00 1484.2444  1033.3162 34.5462 3.3635
-50000.00 1260.00 1484.3116  1033.3669 34.5481 3.3389
-50000.00 1270.00 1484.3788  1033.4177 34.5499 3.3142
-50000.00 1280.00 1484.4460  1033.4684 34.5518 3.2896
-50000.00 1290.00 1484.5132  1033.5191 34.5536 3.2649
-50000.00 1300.00 1484.5804  1033.5699 34.5555 3.2402
-50000.00 1310.00 1484.6491  1033.6205 34.5572 3.2160
-50000.00 1320.00 1484.7203  1033.6708 34.5589 3.1924
-50000.00 1330.00 1484.7914  1033.7212 34.5605 3.1687
-50000.00 1340.00 1484.8626  1033.7716 34.5621 3.1451
-50000.00 1350.00 1484.9337  1033.8220 34.5637 3.1215
-50000.00 1360.00 1485.0049  1033.8724 34.5653 3.0979
-50000.00 1370.00 1485.0760  1033.9228 34.5670 3.0743
-50000.00 1380.00 1485.1471  1033.9731 34.5686 3.0507
-50000.00 1390.00 1485.2183  1034.0235 34.5702 3.0271
-50000.00 1400.00 1485.2894  1034.0739 34.5718 3.0035
-50000.00 1410.00 1485.3609  1034.1243 34.5734 2.9800
-50000.00 1420.00 1485.4358  1034.1744 34.5748 2.9574
-50000.00 1430.00 1485.5107  1034.2244 34.5763 2.9347
-50000.00 1440.00 1485.5856  1034.2745 34.5777 2.9121
-50000.00 1450.00 1485.6606  1034.3246 34.5791 2.8895
-50000.00 1460.00 1485.7355  1034.3746 34.5805 2.8669
-50000.00 1470.00 1485.8104  1034.4247 34.5819 2.8443
-50000.00 1480.00 1485.8853  1034.4748 34.5834 2.8216
-50000.00 1490.00 1485.9602  1034.5249 34.5848 2.7990
-50000.00 1500.00 1486.0351  1034.5749 34.5862 2.7764
-50000.00 1510.00 1486.1100  1034.6250 34.5876 2.7538
-50000.00 1520.00 1486.1869  1034.6750 34.5890 2.7316
-50000.00 1530.00 1486.2687  1034.7247 34.5903 2.7107
-50000.00 1540.00 1486.3504  1034.7744 34.5916 2.6897
-50000.00 1550.00 1486.4321  1034.8241 34.5929 2.6687
-50000.00 1560.00 1486.5139  1034.8739 34.5941 2.6478
-50000.00 1570.00 1486.5956  1034.9236 34.5954 2.6268
-50000.00 1580.00 1486.6774  1034.9733 34.5967 2.6058
-50000.00 1590.00 1486.7591  1035.0230 34.5980 2.5849
-50000.00 1600.00 1486.8408  1035.0727 34.5993 2.5639
-50000.00 1610.00 1486.9226  1035.1224 34.6006 2.5429
-50000.00 1620.00 1487.0043  1035.1722 34.6018 2.5220
-50000.00 1630.00 1487.0861  1035.2219 34.6031 2.5010
-50000.00 1640.00 1487.1759  1035.2713 34.6044 2.4819
-50000.00 1650.00 1487.2716  1035.3205 34.6055 2.4641
-50000.00 1660.00 1487.3673  1035.3697 34.6067 2.4464
-50000.00 1670.00 1487.4630  1035.4189 34.6079 2.4286
