-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1484.7923  1031.8650 34.5525 4.6227
-50000.00 980.00 1484.7659  1031.9177 34.5529 4.5753
-50000.00 990.00 1484.7394  1031.9703 34.5532 4.5279
-50000.00 1000.00 1484.7130  1032.0230 34.5535 4.4805
-50000.00 1010.00 1484.6944  1032.0755 34.5540 4.4350
-50000.00 1020.00 1484.6954  1032.1275 34.5547 4.3945
-50000.00 1030.00 1484.6964  1032.1795 34.5555 4.3540
-50000.00 1040.00 1484.6974  1032.2315 34.5562 4.3135
-50000.00 1050.00 1484.6985  1032.2835 34.5569 4.2730
-50000.00 1060.00 1484.6995  1032.3355 34.5577 4.2325
-50000.00 1070.00 1484.7005  1032.3875 34.5584 4.1919
-50000.00 1080.00 1484.7015  1032.4395 34.5591 4.1514
-50000.00 1090.00 1484.7025  1032.4914 34.5599 4.1109
-50000.00 1100.00 1484.7035  1032.5434 34.5606 4.0704
-50000.00 1110.00 1484.7133  1032.5952 34.5614 4.0321
-50000.00 1120.00 1484.7358  1032.6466 34.5624 3.9969
-50000.00 1130.00 1484.7583  1032.6981 34.5634 3.9617
-50000.00 1140.00 1484.7808  1032.7495 34.5644 3.9265
-50000.00 1150.00 1484.8033  1032.8009 34.5653 3.8913
-50000.00 1160.00 1484.8258  1032.8524 34.5663 3.8561
-50000.00 1170.00 1484.8482  1032.9038 34.5673 3.8209
-50000.00 1180.00 1484.8707  1032.9552 34.5683 3.7857
-50000.00 1190.00 1484.8932  1033.0067 34.5692 3.7505
-50000.00 1200.00 1484.9157  1033.0581 34.5702 3.7153
-50000.00 1210.00 1484.9459  1033.1093 34.5712 3.6820
-50000.00 1220.00 1484.9856  1033.1602 34.5723 3.6510
-50000.00 1230.00 1485.0253  1033.2112 34.5734 3.6201
-50000.00 1240.00 1485.0650  1033.2621 34.5745 3.5891
-50000.00 1250.00 1485.1047  1033.3131 34.5756 3.5581
-50000.00 1260.00 1485.1444  1033.3640 34.5768 3.5271
-50000.00 1270.00 1485.1841  1033.4150 34.5779 3.4962
-50000.00 1280.00 1485.2238  1033.4659 34.5790 3.4652
-50000.00 1290.00 1485.2635  1033.5169 34.5801 3.4342
-50000.00 1300.00 1485.3032  1033.5678 34.5812 3.4032
-50000.00 1310.00 1485.3486  1033.6186 34.5823 3.3736
-50000.00 1320.00 1485.4032  1033.6691 34.5834 3.3463
-50000.00 1330.00 1485.4578  1033.7195 34.5846 3.3189
-50000.00 1340.00 1485.5125  1033.7700 34.5857 3.2915
-50000.00 1350.00 1485.5671  1033.8205 34.5869 3.2642
-50000.00 1360.00 1485.6217  1033.8710 34.5880 3.2368
-50000.00 1370.00 1485.6763  1033.9215 34.5891 3.2095
-50000.00 1380.00 1485.7310  1033.9719 34.5903 3.1821
-50000.00 1390.00 1485.7856  1034.0224 34.5914 3.1547
-50000.00 1400.00 1485.8402  1034.0729 34.5926 3.1274
-50000.00 1410.00 1485.8961  1034.1233 34.5937 3.1003
-50000.00 1420.00 1485.9652  1034.1733 34.5948 3.0764
-50000.00 1430.00 1486.0344  1034.2233 34.5959 3.0525
-50000.00 1440.00 1486.1035  1034.2732 34.5970 3.0286
-50000.00 1450.00 1486.1726  1034.3232 34.5981 3.0047
-50000.00 1460.00 1486.2418  1034.3732 34.5992 2.9808
-50000.00 1470.00 1486.3109  1034.4232 34.6003 2.9569
-50000.00 1480.00 1486.3800  1034.4731 34.6014 2.9330
