#dataset: GeoCSV v2.2.0-1
#created: 2024-02-28T21:35:37.609Z
"#description: Metadata for drifting Mobile Earthquake Recording in Marine Areas by Independent Divers (MERMAID) hydrophones, www.EarthScopeOceans.org"
#attribution: automaid v3.6.0-P (https://github.com/earthscopeoceans/automaid [doi: 10.5281/zenodo.5057096])
#matlab_reader: https://github.com/joelsimon/GeoCSV/blob/master/readGeoCSV.m
#waterpressure2depth: 100 mbar is approximately equal to the pressure of 1 meter of water
#frequency_response: http://ds.iris.edu/data/reports/MH/MH.Mermaids.Response.V3.pdf
#lineterminator: '\n'
"#delimiter: ','"
#field_unit: unitless,iso8601,unitless,unitless,unitless,unitless,degrees_north,degrees_east,meters,mbar,unitless,hertz,seconds,seconds
#field_type: string,datetime,string,string,string,string,float,float,float,float,string,float,float,float
MethodIdentifier,StartTime,Network,Station,Location,Channel,Latitude,Longitude,Elevation,WaterPressure,InstrumentDescription,SampleRate,TimeDelay,TimeCorrection
Measurement:GPS:u-blox_NEO-M8N,2018-08-05T13:23:15.000Z,MH,P0008,nan,nan,-12.008233,-172.023102,nan,nan,MERMAIDHydrophone(452.020),nan,0.000030,nan
Measurement:GPS:u-blox_NEO-M8N,2018-08-05T13:32:46.000Z,MH,P0008,nan,nan,-12.006967,-172.018723,nan,nan,MERMAIDHydrophone(452.020),nan,-0.000062,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T13:45:07.000Z,MH,P0008,nan,nan,nan,nan,nan,340,MERMAIDHydrophone(452.020),nan,nan,nan
Algorithm(thermocline):automaid:v3.6.0-P,2018-08-05T13:55:44.424Z,MH,P0008,nan,nan,-12.003909,-172.008133,nan,5000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T13:55:54.000Z,MH,P0008,nan,nan,nan,nan,nan,5070,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T14:11:49.000Z,MH,P0008,nan,nan,nan,nan,nan,11270,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T14:44:18.000Z,MH,P0008,nan,nan,nan,nan,nan,16480,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T15:11:23.000Z,MH,P0008,nan,nan,nan,nan,nan,21640,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T15:38:28.000Z,MH,P0008,nan,nan,nan,nan,nan,26950,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T16:00:07.000Z,MH,P0008,nan,nan,nan,nan,nan,32310,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T16:27:12.000Z,MH,P0008,nan,nan,nan,nan,nan,38330,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T16:54:16.000Z,MH,P0008,nan,nan,nan,nan,nan,44110,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T17:21:20.000Z,MH,P0008,nan,nan,nan,nan,nan,49760,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T17:43:16.000Z,MH,P0008,nan,nan,nan,nan,nan,54770,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T18:04:49.000Z,MH,P0008,nan,nan,nan,nan,nan,59800,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T18:26:19.000Z,MH,P0008,nan,nan,nan,nan,nan,65120,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T18:58:49.000Z,MH,P0008,nan,nan,nan,nan,nan,70990,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T19:25:53.000Z,MH,P0008,nan,nan,nan,nan,nan,76260,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T19:42:08.000Z,MH,P0008,nan,nan,nan,nan,nan,81340,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T20:09:12.000Z,MH,P0008,nan,nan,nan,nan,nan,86640,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T20:30:52.000Z,MH,P0008,nan,nan,nan,nan,nan,92140,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T20:57:56.000Z,MH,P0008,nan,nan,nan,nan,nan,97570,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T21:19:36.000Z,MH,P0008,nan,nan,nan,nan,nan,102870,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T21:41:16.000Z,MH,P0008,nan,nan,nan,nan,nan,108570,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T22:08:20.000Z,MH,P0008,nan,nan,nan,nan,nan,114090,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T22:35:24.000Z,MH,P0008,nan,nan,nan,nan,nan,119530,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T23:02:29.000Z,MH,P0008,nan,nan,nan,nan,nan,124980,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T23:29:33.000Z,MH,P0008,nan,nan,nan,nan,nan,130820,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-05T23:51:13.000Z,MH,P0008,nan,nan,nan,nan,nan,136070,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-06T00:23:42.000Z,MH,P0008,nan,nan,nan,nan,nan,141960,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-06T00:56:15.000Z,MH,P0008,nan,nan,nan,nan,nan,146990,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-06T04:58:39.000Z,MH,P0008,nan,nan,nan,nan,nan,152220,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-06T08:09:47.000Z,MH,P0008,nan,nan,nan,nan,nan,152240,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-06T08:23:19.000Z,MH,P0008,nan,nan,nan,nan,nan,146480,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-06T08:35:29.000Z,MH,P0008,nan,nan,nan,nan,nan,140890,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-06T08:47:38.000Z,MH,P0008,nan,nan,nan,nan,nan,135490,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-06T08:58:13.000Z,MH,P0008,nan,nan,nan,nan,nan,130410,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-06T09:08:21.000Z,MH,P0008,nan,nan,nan,nan,nan,125290,MERMAIDHydrophone(452.020),nan,nan,nan
