Datetime	Latitude	Longitude	WaterPressure
2018-09-13T09:22:02.703Z	-24.272709	-145.521271	5000
2018-09-14T08:37:31.539Z	-24.263279	-145.492432	5000
2018-09-14T09:25:50.792Z	-24.260782	-145.495438	5000
2018-09-15T08:45:33.466Z	-24.250093	-145.506027	5000
2018-09-15T09:37:46.200Z	-24.240326	-145.51416	5000
2018-09-16T21:16:03.372Z	-24.243402	-145.511414	150900
2018-09-23T19:18:21.619Z	-24.25773	-145.498596	5000
2018-09-23T20:17:41.132Z	-24.24902	-145.500336	5000
2018-09-30T10:56:23.416Z	-24.323257	-145.457138	149900
2018-09-30T15:53:58.992Z	-24.325579	-145.45578	5000
2018-09-30T17:19:23.472Z	-24.314013	-145.453064	5000
2018-10-07T17:46:29.611Z	-24.420601	-145.422119	151300
2018-10-07T22:55:55.324Z	-24.423864	-145.421173	5000
2018-10-08T00:32:56.677Z	-24.418255	-145.417358	5000
2018-10-16T09:22:24.016Z	-24.575275	-145.354004	5000
2018-10-16T10:25:01.101Z	-24.576094	-145.356689	5000
2018-10-24T19:48:38.095Z	-24.63278	-145.291504	5000
2018-10-24T20:46:24.424Z	-24.636984	-145.291992	5000
2018-11-02T06:22:22.224Z	-24.643427	-145.183029	5000
2018-11-02T07:27:44.532Z	-24.647655	-145.187714	5000
2018-11-10T16:50:29.984Z	-24.590256	-144.967163	5000
2018-11-10T17:47:47.927Z	-24.584238	-144.968582	5000
2018-11-18T20:30:00.003Z	-24.528151	-144.760132	150600
2018-11-19T01:41:08.978Z	-24.526657	-144.754578	5000
2018-11-19T03:05:45.876Z	-24.500248	-144.744751	5000
2018-11-27T12:05:36.698Z	-24.516439	-144.52446	5000
2018-11-27T13:37:53.857Z	-24.520426	-144.528687	5000
2018-12-05T04:24:39.795Z	-24.587566	-144.324631	151100
2018-12-05T09:39:42.068Z	-24.589495	-144.318771	5000
2018-12-05T11:32:11.692Z	-24.599953	-144.331161	5000
2018-12-13T20:00:37.214Z	-24.629503	-144.166473	5000
2018-12-13T22:08:18.136Z	-24.625017	-144.162979	5000
2018-12-22T06:40:55.289Z	-24.678474	-144.142792	5000
2018-12-22T08:13:01.520Z	-24.674742	-144.143692	5000
2018-12-23T23:12:57.091Z	-24.682775	-144.142273	152100
2018-12-30T16:58:32.377Z	-24.716099	-144.136444	5000
2018-12-30T19:20:16.837Z	-24.710176	-144.13504	5000
2019-01-08T03:17:53.119Z	-24.758919	-144.138519	5000
2019-01-08T04:38:41.520Z	-24.750412	-144.155197	5000
2019-01-16T13:49:09.790Z	-24.860342	-144.258621	5000
2019-01-16T15:37:24.230Z	-24.867901	-144.242096	5000
2019-01-25T00:19:54.789Z	-24.977932	-144.303452	5000
2019-01-25T02:08:08.657Z	-24.985023	-144.340866	5000
2019-01-26T20:00:50.144Z	-25.016151	-144.363022	150600
2019-02-01T16:23:07.814Z	-25.120491	-144.437332	151500
2019-02-01T21:24:14.411Z	-25.12422	-144.439987	5000
2019-02-01T22:55:03.758Z	-25.154285	-144.457687	5000
2019-02-10T08:01:01.706Z	-25.351604	-144.560165	5000
2019-02-10T09:30:52.632Z	-25.374475	-144.586395	5000
2019-02-18T18:33:19.199Z	-25.527454	-144.722992	5000
