#dataset: GeoCSV v2.2.0-1
#created: 2024-02-28T21:35:37.609Z
"#description: Metadata for drifting Mobile Earthquake Recording in Marine Areas by Independent Divers (MERMAID) hydrophones, www.EarthScopeOceans.org"
#attribution: automaid v3.6.0-P (https://github.com/earthscopeoceans/automaid [doi: 10.5281/zenodo.5057096])
#matlab_reader: https://github.com/joelsimon/GeoCSV/blob/master/readGeoCSV.m
#waterpressure2depth: 100 mbar is approximately equal to the pressure of 1 meter of water
#frequency_response: http://ds.iris.edu/data/reports/MH/MH.Mermaids.Response.V3.pdf
#lineterminator: '\n'
"#delimiter: ','"
#field_unit: unitless,iso8601,unitless,unitless,unitless,unitless,degrees_north,degrees_east,meters,mbar,unitless,hertz,seconds,seconds
#field_type: string,datetime,string,string,string,string,float,float,float,float,string,float,float,float
MethodIdentifier,StartTime,Network,Station,Location,Channel,Latitude,Longitude,Elevation,WaterPressure,InstrumentDescription,SampleRate,TimeDelay,TimeCorrection
Measurement:GPS:u-blox_NEO-M8N,2018-06-27T18:39:02.000Z,MH,P0007,nan,nan,-13.511750,-176.492661,nan,nan,MERMAIDHydrophone(452.020),nan,0.999908,nan
Measurement:GPS:u-blox_NEO-M8N,2018-06-27T18:43:58.000Z,MH,P0007,nan,nan,-13.513133,-176.489899,nan,nan,MERMAIDHydrophone(452.020),nan,0.000030,nan
Measurement:Pressure:KELLER_Series_6,2018-06-27T18:51:31.000Z,MH,P0007,nan,nan,nan,nan,nan,560,MERMAIDHydrophone(452.020),nan,nan,nan
Algorithm(thermocline):automaid:v3.6.0-P,2018-06-27T18:59:14.980Z,MH,P0007,nan,nan,-13.517419,-176.481323,nan,5000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-06-27T19:01:58.000Z,MH,P0007,nan,nan,nan,nan,nan,6560,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-06-27T19:18:12.000Z,MH,P0007,nan,nan,nan,nan,nan,13040,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-06-27T19:39:52.000Z,MH,P0007,nan,nan,nan,nan,nan,18590,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-06-27T20:17:46.000Z,MH,P0007,nan,nan,nan,nan,nan,24250,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-06-27T20:39:26.000Z,MH,P0007,nan,nan,nan,nan,nan,29320,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-06-27T21:06:30.000Z,MH,P0007,nan,nan,nan,nan,nan,35410,MERMAIDHydrophone(452.020),nan,nan,nan
