#dataset: GeoCSV v2.2.0-1
#created: 2024-02-28T21:35:37.609Z
"#description: Metadata for drifting Mobile Earthquake Recording in Marine Areas by Independent Divers (MERMAID) hydrophones, www.EarthScopeOceans.org"
#attribution: automaid v3.6.0-P (https://github.com/earthscopeoceans/automaid [doi: 10.5281/zenodo.5057096])
#matlab_reader: https://github.com/joelsimon/GeoCSV/blob/master/readGeoCSV.m
#waterpressure2depth: 100 mbar is approximately equal to the pressure of 1 meter of water
#frequency_response: http://ds.iris.edu/data/reports/MH/MH.Mermaids.Response.V3.pdf
#lineterminator: '\n'
"#delimiter: ','"
#field_unit: unitless,iso8601,unitless,unitless,unitless,unitless,degrees_north,degrees_east,meters,mbar,unitless,hertz,seconds,seconds
#field_type: string,datetime,string,string,string,string,float,float,float,float,string,float,float,float
MethodIdentifier,StartTime,Network,Station,Location,Channel,Latitude,Longitude,Elevation,WaterPressure,InstrumentDescription,SampleRate,TimeDelay,TimeCorrection
Measurement:GPS:u-blox_NEO-M8N,2018-09-12T02:04:15.000Z,MH,P0023,nan,nan,-24.201200,-141.100647,nan,nan,MERMAIDHydrophone(452.020),nan,-0.000123,nan
Measurement:GPS:u-blox_NEO-M8N,2018-09-12T02:08:57.000Z,MH,P0023,nan,nan,-24.201349,-141.112823,nan,nan,MERMAIDHydrophone(452.020),nan,0.000030,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T02:22:20.000Z,MH,P0023,nan,nan,nan,nan,nan,360,MERMAIDHydrophone(452.020),nan,nan,nan
Algorithm(thermocline):automaid:v3.6.0-P,2018-09-12T02:32:01.856Z,MH,P0023,nan,nan,-24.202087,-141.172562,nan,5000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T02:32:47.000Z,MH,P0023,nan,nan,nan,nan,nan,5360,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T02:43:37.000Z,MH,P0023,nan,nan,nan,nan,nan,10870,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T02:54:27.000Z,MH,P0023,nan,nan,nan,nan,nan,16230,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T03:05:17.000Z,MH,P0023,nan,nan,nan,nan,nan,21700,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T03:21:31.000Z,MH,P0023,nan,nan,nan,nan,nan,28550,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T03:37:46.000Z,MH,P0023,nan,nan,nan,nan,nan,35320,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T03:54:01.000Z,MH,P0023,nan,nan,nan,nan,nan,42100,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T04:10:15.000Z,MH,P0023,nan,nan,nan,nan,nan,48300,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T04:26:30.000Z,MH,P0023,nan,nan,nan,nan,nan,53800,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T04:42:44.000Z,MH,P0023,nan,nan,nan,nan,nan,60170,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T04:58:59.000Z,MH,P0023,nan,nan,nan,nan,nan,66170,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T05:15:14.000Z,MH,P0023,nan,nan,nan,nan,nan,71520,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T05:31:28.000Z,MH,P0023,nan,nan,nan,nan,nan,77020,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T05:47:43.000Z,MH,P0023,nan,nan,nan,nan,nan,82060,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T06:09:23.000Z,MH,P0023,nan,nan,nan,nan,nan,88210,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T06:25:37.000Z,MH,P0023,nan,nan,nan,nan,nan,94460,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T06:47:17.000Z,MH,P0023,nan,nan,nan,nan,nan,100340,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T07:08:56.000Z,MH,P0023,nan,nan,nan,nan,nan,106820,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T07:30:36.000Z,MH,P0023,nan,nan,nan,nan,nan,112160,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T07:52:16.000Z,MH,P0023,nan,nan,nan,nan,nan,118620,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T08:13:55.000Z,MH,P0023,nan,nan,nan,nan,nan,124830,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T08:35:35.000Z,MH,P0023,nan,nan,nan,nan,nan,129900,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-12T09:08:04.000Z,MH,P0023,nan,nan,nan,nan,nan,135900,MERMAIDHydrophone(452.020),nan,nan,nan
