#dataset: GeoCSV v2.2.0-1
#created: 2024-02-28T21:35:37.609Z
"#description: Metadata for drifting Mobile Earthquake Recording in Marine Areas by Independent Divers (MERMAID) hydrophones, www.EarthScopeOceans.org"
#attribution: automaid v3.6.0-P (https://github.com/earthscopeoceans/automaid [doi: 10.5281/zenodo.5057096])
#matlab_reader: https://github.com/joelsimon/GeoCSV/blob/master/readGeoCSV.m
#waterpressure2depth: 100 mbar is approximately equal to the pressure of 1 meter of water
#frequency_response: http://ds.iris.edu/data/reports/MH/MH.Mermaids.Response.V3.pdf
#lineterminator: '\n'
"#delimiter: ','"
#field_unit: unitless,iso8601,unitless,unitless,unitless,unitless,degrees_north,degrees_east,meters,mbar,unitless,hertz,seconds,seconds
#field_type: string,datetime,string,string,string,string,float,float,float,float,string,float,float,float
MethodIdentifier,StartTime,Network,Station,Location,Channel,Latitude,Longitude,Elevation,WaterPressure,InstrumentDescription,SampleRate,TimeDelay,TimeCorrection
Measurement:GPS:u-blox_NEO-M8N,2018-09-10T19:07:22.000Z,MH,P0022,nan,nan,-24.142517,-136.613922,nan,nan,MERMAIDHydrophone(452.020),nan,0.000122,nan
Measurement:GPS:u-blox_NEO-M8N,2018-09-10T19:13:28.000Z,MH,P0022,nan,nan,-24.145466,-136.628052,nan,nan,MERMAIDHydrophone(452.020),nan,0.000030,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T19:22:49.000Z,MH,P0022,nan,nan,nan,nan,nan,380,MERMAIDHydrophone(452.020),nan,nan,nan
Algorithm(thermocline):automaid:v3.6.0-P,2018-09-10T19:31:26.275Z,MH,P0022,nan,nan,-24.154158,-136.669693,nan,5000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T19:33:16.000Z,MH,P0022,nan,nan,nan,nan,nan,5980,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T19:44:05.000Z,MH,P0022,nan,nan,nan,nan,nan,11750,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T19:54:55.000Z,MH,P0022,nan,nan,nan,nan,nan,17420,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T20:05:45.000Z,MH,P0022,nan,nan,nan,nan,nan,22520,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T20:16:35.000Z,MH,P0022,nan,nan,nan,nan,nan,27740,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T20:27:42.000Z,MH,P0022,nan,nan,nan,nan,nan,32750,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T20:43:39.000Z,MH,P0022,nan,nan,nan,nan,nan,39770,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T20:54:52.000Z,MH,P0022,nan,nan,nan,nan,nan,44780,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T21:10:44.000Z,MH,P0022,nan,nan,nan,nan,nan,51780,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T21:26:58.000Z,MH,P0022,nan,nan,nan,nan,nan,58970,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T21:43:13.000Z,MH,P0022,nan,nan,nan,nan,nan,65880,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T21:59:28.000Z,MH,P0022,nan,nan,nan,nan,nan,72060,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T22:15:42.000Z,MH,P0022,nan,nan,nan,nan,nan,77640,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T22:31:57.000Z,MH,P0022,nan,nan,nan,nan,nan,84240,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T22:48:12.000Z,MH,P0022,nan,nan,nan,nan,nan,89780,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-10T23:04:26.000Z,MH,P0022,nan,nan,nan,nan,nan,94840,MERMAIDHydrophone(452.020),nan,nan,nan
