#dataset: GeoCSV v2.2.0-1
#created: 2024-02-28T21:35:37.609Z
"#description: Metadata for drifting Mobile Earthquake Recording in Marine Areas by Independent Divers (MERMAID) hydrophones, www.EarthScopeOceans.org"
#attribution: automaid v3.6.0-P (https://github.com/earthscopeoceans/automaid [doi: 10.5281/zenodo.5057096])
#matlab_reader: https://github.com/joelsimon/GeoCSV/blob/master/readGeoCSV.m
#waterpressure2depth: 100 mbar is approximately equal to the pressure of 1 meter of water
#frequency_response: http://ds.iris.edu/data/reports/MH/MH.Mermaids.Response.V3.pdf
#lineterminator: '\n'
"#delimiter: ','"
#field_unit: unitless,iso8601,unitless,unitless,unitless,unitless,degrees_north,degrees_east,meters,mbar,unitless,hertz,seconds,seconds
#field_type: string,datetime,string,string,string,string,float,float,float,float,string,float,float,float
MethodIdentifier,StartTime,Network,Station,Location,Channel,Latitude,Longitude,Elevation,WaterPressure,InstrumentDescription,SampleRate,TimeDelay,TimeCorrection
Measurement:GPS:u-blox_NEO-M8N,2018-09-06T20:07:31.000Z,MH,P0019,nan,nan,-15.399867,-130.741180,nan,nan,MERMAIDHydrophone(452.020),nan,0.000091,nan
Measurement:GPS:u-blox_NEO-M8N,2018-09-06T20:14:46.000Z,MH,P0019,nan,nan,-15.407434,-130.734985,nan,nan,MERMAIDHydrophone(452.020),nan,-0.000000,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T20:25:06.000Z,MH,P0019,nan,nan,nan,nan,nan,340,MERMAIDHydrophone(452.020),nan,nan,nan
Algorithm(thermocline):automaid:v3.6.0-P,2018-09-06T20:34:20.425Z,MH,P0019,nan,nan,-15.427862,-130.718246,nan,5000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T20:35:33.000Z,MH,P0019,nan,nan,nan,nan,nan,5610,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T20:46:28.000Z,MH,P0019,nan,nan,nan,nan,nan,10640,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T20:57:14.000Z,MH,P0019,nan,nan,nan,nan,nan,15650,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T21:13:27.000Z,MH,P0019,nan,nan,nan,nan,nan,22610,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T21:29:42.000Z,MH,P0019,nan,nan,nan,nan,nan,29020,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T21:45:56.000Z,MH,P0019,nan,nan,nan,nan,nan,35360,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T22:02:11.000Z,MH,P0019,nan,nan,nan,nan,nan,41580,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T22:18:26.000Z,MH,P0019,nan,nan,nan,nan,nan,47610,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T22:34:40.000Z,MH,P0019,nan,nan,nan,nan,nan,53390,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T22:50:55.000Z,MH,P0019,nan,nan,nan,nan,nan,59070,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T23:07:10.000Z,MH,P0019,nan,nan,nan,nan,nan,65330,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T23:23:24.000Z,MH,P0019,nan,nan,nan,nan,nan,70620,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-06T23:40:00.000Z,MH,P0019,nan,nan,nan,nan,nan,75640,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T00:01:19.000Z,MH,P0019,nan,nan,nan,nan,nan,81120,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T00:22:58.000Z,MH,P0019,nan,nan,nan,nan,nan,86970,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T00:50:03.000Z,MH,P0019,nan,nan,nan,nan,nan,93070,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T01:06:17.000Z,MH,P0019,nan,nan,nan,nan,nan,99270,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T01:27:57.000Z,MH,P0019,nan,nan,nan,nan,nan,105230,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T01:49:36.000Z,MH,P0019,nan,nan,nan,nan,nan,110240,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T02:11:16.000Z,MH,P0019,nan,nan,nan,nan,nan,116150,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T02:33:04.000Z,MH,P0019,nan,nan,nan,nan,nan,121160,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T03:00:00.000Z,MH,P0019,nan,nan,nan,nan,nan,126610,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T03:32:29.000Z,MH,P0019,nan,nan,nan,nan,nan,131680,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T04:04:58.000Z,MH,P0019,nan,nan,nan,nan,nan,137220,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T04:59:07.000Z,MH,P0019,nan,nan,nan,nan,nan,142640,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T06:07:03.000Z,MH,P0019,nan,nan,nan,nan,nan,147730,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T14:48:20.000Z,MH,P0019,nan,nan,nan,nan,nan,149100,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T15:06:52.000Z,MH,P0019,nan,nan,nan,nan,nan,141700,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T15:16:59.000Z,MH,P0019,nan,nan,nan,nan,nan,136090,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T15:27:07.000Z,MH,P0019,nan,nan,nan,nan,nan,130000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T15:37:15.000Z,MH,P0019,nan,nan,nan,nan,nan,124090,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T15:47:22.000Z,MH,P0019,nan,nan,nan,nan,nan,118940,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T15:59:31.000Z,MH,P0019,nan,nan,nan,nan,nan,113350,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T16:11:40.000Z,MH,P0019,nan,nan,nan,nan,nan,107760,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T16:23:50.000Z,MH,P0019,nan,nan,nan,nan,nan,102290,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T16:36:27.000Z,MH,P0019,nan,nan,nan,nan,nan,96440,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T16:46:34.000Z,MH,P0019,nan,nan,nan,nan,nan,91020,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T16:56:42.000Z,MH,P0019,nan,nan,nan,nan,nan,85840,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T17:06:49.000Z,MH,P0019,nan,nan,nan,nan,nan,80500,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T17:16:57.000Z,MH,P0019,nan,nan,nan,nan,nan,74900,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T17:29:06.000Z,MH,P0019,nan,nan,nan,nan,nan,69010,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T17:41:15.000Z,MH,P0019,nan,nan,nan,nan,nan,63140,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T17:51:23.000Z,MH,P0019,nan,nan,nan,nan,nan,57820,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T18:03:32.000Z,MH,P0019,nan,nan,nan,nan,nan,52650,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T18:16:37.000Z,MH,P0019,nan,nan,nan,nan,nan,47610,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T18:26:45.000Z,MH,P0019,nan,nan,nan,nan,nan,42030,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T18:36:52.000Z,MH,P0019,nan,nan,nan,nan,nan,36680,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T18:49:01.000Z,MH,P0019,nan,nan,nan,nan,nan,30840,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T19:01:11.000Z,MH,P0019,nan,nan,nan,nan,nan,25240,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T19:13:20.000Z,MH,P0019,nan,nan,nan,nan,nan,19550,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T19:25:29.000Z,MH,P0019,nan,nan,nan,nan,nan,14150,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T19:38:06.000Z,MH,P0019,nan,nan,nan,nan,nan,8110,MERMAIDHydrophone(452.020),nan,nan,nan
Algorithm(thermocline):automaid:v3.6.0-P,2018-09-07T19:43:35.996Z,MH,P0019,nan,nan,-15.425298,-130.739014,nan,5000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T19:48:14.000Z,MH,P0019,nan,nan,nan,nan,nan,2380,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:GPS:u-blox_NEO-M8N,2018-09-07T20:01:40.000Z,MH,P0019,nan,nan,-15.426534,-130.741043,nan,nan,MERMAIDHydrophone(452.020),nan,0.165557,nan
Measurement:GPS:u-blox_NEO-M8N,2018-09-07T20:03:03.000Z,MH,P0019,nan,nan,-15.426617,-130.741211,nan,nan,MERMAIDHydrophone(452.020),nan,0.000030,nan
Measurement:GPS:u-blox_NEO-M8N,2018-09-07T20:13:22.000Z,MH,P0019,nan,nan,-15.427333,-130.742371,nan,nan,MERMAIDHydrophone(452.020),nan,-0.000000,nan
Measurement:GPS:u-blox_NEO-M8N,2018-09-07T20:17:45.000Z,MH,P0019,nan,nan,-15.427700,-130.742905,nan,nan,MERMAIDHydrophone(452.020),nan,-0.000000,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T20:25:29.000Z,MH,P0019,nan,nan,nan,nan,nan,360,MERMAIDHydrophone(452.020),nan,nan,nan
Algorithm(thermocline):automaid:v3.6.0-P,2018-09-07T20:39:18.221Z,MH,P0019,nan,nan,-15.429289,-130.745361,nan,5000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T20:46:45.000Z,MH,P0019,nan,nan,nan,nan,nan,7500,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T21:08:25.000Z,MH,P0019,nan,nan,nan,nan,nan,13520,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T21:35:29.000Z,MH,P0019,nan,nan,nan,nan,nan,19090,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T22:02:34.000Z,MH,P0019,nan,nan,nan,nan,nan,25050,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T22:24:13.000Z,MH,P0019,nan,nan,nan,nan,nan,30320,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T22:45:53.000Z,MH,P0019,nan,nan,nan,nan,nan,36440,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T23:07:32.000Z,MH,P0019,nan,nan,nan,nan,nan,42490,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T23:29:12.000Z,MH,P0019,nan,nan,nan,nan,nan,47890,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-07T23:51:11.000Z,MH,P0019,nan,nan,nan,nan,nan,52900,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-08T00:17:56.000Z,MH,P0019,nan,nan,nan,nan,nan,58460,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-08T00:45:00.000Z,MH,P0019,nan,nan,nan,nan,nan,63900,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-08T01:12:05.000Z,MH,P0019,nan,nan,nan,nan,nan,69120,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-08T01:33:44.000Z,MH,P0019,nan,nan,nan,nan,nan,75000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-09-08T02:00:49.000Z,MH,P0019,nan,nan,nan,nan,nan,81220,MERMAIDHydrophone(452.020),nan,nan,nan
