#dataset: GeoCSV v2.2.0-1
#created: 2024-02-28T21:35:37.609Z
"#description: Metadata for drifting Mobile Earthquake Recording in Marine Areas by Independent Divers (MERMAID) hydrophones, www.EarthScopeOceans.org"
#attribution: automaid v3.6.0-P (https://github.com/earthscopeoceans/automaid [doi: 10.5281/zenodo.5057096])
#matlab_reader: https://github.com/joelsimon/GeoCSV/blob/master/readGeoCSV.m
#waterpressure2depth: 100 mbar is approximately equal to the pressure of 1 meter of water
#frequency_response: http://ds.iris.edu/data/reports/MH/MH.Mermaids.Response.V3.pdf
#lineterminator: '\n'
"#delimiter: ','"
#field_unit: unitless,iso8601,unitless,unitless,unitless,unitless,degrees_north,degrees_east,meters,mbar,unitless,hertz,seconds,seconds
#field_type: string,datetime,string,string,string,string,float,float,float,float,string,float,float,float
MethodIdentifier,StartTime,Network,Station,Location,Channel,Latitude,Longitude,Elevation,WaterPressure,InstrumentDescription,SampleRate,TimeDelay,TimeCorrection
Measurement:GPS:u-blox_NEO-M8N,2018-08-10T19:51:32.000Z,MH,P0012,nan,nan,-15.011666,-154.990143,nan,nan,MERMAIDHydrophone(452.020),nan,-0.000062,nan
Measurement:GPS:u-blox_NEO-M8N,2018-08-10T20:01:48.000Z,MH,P0012,nan,nan,-15.013300,-155.000031,nan,nan,MERMAIDHydrophone(452.020),nan,-0.000062,nan
Measurement:GPS:u-blox_NEO-M8N,2018-08-10T20:06:14.000Z,MH,P0012,nan,nan,-15.013083,-155.000015,nan,nan,MERMAIDHydrophone(452.020),nan,0.000061,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T20:13:38.000Z,MH,P0012,nan,nan,nan,nan,nan,360,MERMAIDHydrophone(452.020),nan,nan,nan
Algorithm(thermocline):automaid:v3.6.0-P,2018-08-10T20:23:03.105Z,MH,P0012,nan,nan,-15.014704,-155.011307,nan,5000,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T20:24:04.000Z,MH,P0012,nan,nan,nan,nan,nan,5500,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T20:35:08.000Z,MH,P0012,nan,nan,nan,nan,nan,10510,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T20:51:09.000Z,MH,P0012,nan,nan,nan,nan,nan,15840,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T21:12:48.000Z,MH,P0012,nan,nan,nan,nan,nan,21820,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T21:39:53.000Z,MH,P0012,nan,nan,nan,nan,nan,27700,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T22:06:57.000Z,MH,P0012,nan,nan,nan,nan,nan,33500,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T22:28:37.000Z,MH,P0012,nan,nan,nan,nan,nan,38770,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T22:50:16.000Z,MH,P0012,nan,nan,nan,nan,nan,44920,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T23:11:56.000Z,MH,P0012,nan,nan,nan,nan,nan,50640,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-10T23:33:35.000Z,MH,P0012,nan,nan,nan,nan,nan,55720,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-11T00:00:40.000Z,MH,P0012,nan,nan,nan,nan,nan,61370,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-11T00:22:19.000Z,MH,P0012,nan,nan,nan,nan,nan,67010,MERMAIDHydrophone(452.020),nan,nan,nan
Measurement:Pressure:KELLER_Series_6,2018-08-11T00:54:49.000Z,MH,P0012,nan,nan,nan,nan,nan,72950,MERMAIDHydrophone(452.020),nan,nan,nan
