-50000.00 0.00 55559.75 2050.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1481.3565  1031.8513 34.4020 3.8451
-50000.00 980.00 1481.3932  1031.9055 34.4068 3.8122
-50000.00 990.00 1481.4299  1031.9598 34.4116 3.7792
-50000.00 1000.00 1481.4666  1032.0141 34.4165 3.7462
-50000.00 1010.00 1481.5118  1032.0680 34.4212 3.7154
-50000.00 1020.00 1481.5784  1032.1209 34.4256 3.6897
-50000.00 1030.00 1481.6450  1032.1739 34.4300 3.6641
-50000.00 1040.00 1481.7116  1032.2268 34.4343 3.6385
-50000.00 1050.00 1481.7782  1032.2798 34.4387 3.6128
-50000.00 1060.00 1481.8449  1032.3327 34.4431 3.5872
-50000.00 1070.00 1481.9115  1032.3857 34.4475 3.5616
-50000.00 1080.00 1481.9781  1032.4386 34.4519 3.5360
-50000.00 1090.00 1482.0447  1032.4916 34.4563 3.5103
-50000.00 1100.00 1482.1113  1032.5446 34.4607 3.4847
-50000.00 1110.00 1482.1848  1032.5970 34.4647 3.4608
-50000.00 1120.00 1482.2682  1032.6488 34.4683 3.4394
-50000.00 1130.00 1482.3516  1032.7005 34.4719 3.4180
-50000.00 1140.00 1482.4350  1032.7523 34.4754 3.3967
-50000.00 1150.00 1482.5183  1032.8040 34.4790 3.3753
-50000.00 1160.00 1482.6017  1032.8558 34.4826 3.3539
-50000.00 1170.00 1482.6851  1032.9075 34.4862 3.3325
-50000.00 1180.00 1482.7685  1032.9593 34.4897 3.3111
-50000.00 1190.00 1482.8519  1033.0110 34.4933 3.2897
-50000.00 1200.00 1482.9353  1033.0628 34.4969 3.2683
-50000.00 1210.00 1483.0220  1033.1141 34.5001 3.2478
-50000.00 1220.00 1483.1130  1033.1650 34.5030 3.2285
-50000.00 1230.00 1483.2039  1033.2159 34.5058 3.2091
-50000.00 1240.00 1483.2948  1033.2668 34.5086 3.1897
-50000.00 1250.00 1483.3858  1033.3177 34.5115 3.1704
-50000.00 1260.00 1483.4767  1033.3686 34.5143 3.1510
-50000.00 1270.00 1483.5677  1033.4194 34.5172 3.1316
-50000.00 1280.00 1483.6586  1033.4703 34.5200 3.1122
-50000.00 1290.00 1483.7496  1033.5212 34.5228 3.0929
-50000.00 1300.00 1483.8405  1033.5721 34.5257 3.0735
-50000.00 1310.00 1483.9331  1033.6228 34.5283 3.0546
-50000.00 1320.00 1484.0284  1033.6731 34.5307 3.0364
-50000.00 1330.00 1484.1237  1033.7234 34.5330 3.0182
-50000.00 1340.00 1484.2190  1033.7737 34.5353 3.0000
-50000.00 1350.00 1484.3143  1033.8240 34.5376 2.9818
-50000.00 1360.00 1484.4096  1033.8743 34.5400 2.9636
-50000.00 1370.00 1484.5049  1033.9246 34.5423 2.9454
-50000.00 1380.00 1484.6002  1033.9749 34.5446 2.9272
-50000.00 1390.00 1484.6955  1034.0252 34.5470 2.9090
-50000.00 1400.00 1484.7908  1034.0755 34.5493 2.8908
