-50000.00 0.00 55559.75 3190.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1482.7307  1031.9051 34.5147 4.1371
-50000.00 980.00 1482.7147  1031.9593 34.5174 4.0920
-50000.00 990.00 1482.6987  1032.0134 34.5201 4.0469
-50000.00 1000.00 1482.6826  1032.0676 34.5228 4.0018
-50000.00 1010.00 1482.6735  1032.1213 34.5253 3.9585
-50000.00 1020.00 1482.6817  1032.1738 34.5271 3.9198
-50000.00 1030.00 1482.6900  1032.2264 34.5289 3.8811
-50000.00 1040.00 1482.6982  1032.2790 34.5308 3.8425
-50000.00 1050.00 1482.7064  1032.3315 34.5326 3.8038
-50000.00 1060.00 1482.7146  1032.3841 34.5344 3.7651
-50000.00 1070.00 1482.7229  1032.4367 34.5363 3.7264
-50000.00 1080.00 1482.7311  1032.4892 34.5381 3.6877
-50000.00 1090.00 1482.7393  1032.5418 34.5399 3.6490
-50000.00 1100.00 1482.7475  1032.5944 34.5418 3.6103
-50000.00 1110.00 1482.7676  1032.6463 34.5433 3.5746
-50000.00 1120.00 1482.8049  1032.6975 34.5446 3.5432
-50000.00 1130.00 1482.8421  1032.7486 34.5458 3.5117
-50000.00 1140.00 1482.8793  1032.7997 34.5470 3.4803
-50000.00 1150.00 1482.9165  1032.8508 34.5483 3.4488
-50000.00 1160.00 1482.9538  1032.9019 34.5495 3.4174
-50000.00 1170.00 1482.9910  1032.9531 34.5507 3.3859
-50000.00 1180.00 1483.0282  1033.0042 34.5520 3.3545
-50000.00 1190.00 1483.0655  1033.0553 34.5532 3.3231
-50000.00 1200.00 1483.1027  1033.1064 34.5544 3.2916
-50000.00 1210.00 1483.1511  1033.1571 34.5556 3.2628
-50000.00 1220.00 1483.2133  1033.2074 34.5567 3.2374
-50000.00 1230.00 1483.2755  1033.2576 34.5578 3.2119
-50000.00 1240.00 1483.3377  1033.3079 34.5589 3.1865
-50000.00 1250.00 1483.3999  1033.3581 34.5599 3.1610
-50000.00 1260.00 1483.4621  1033.4084 34.5610 3.1356
-50000.00 1270.00 1483.5244  1033.4586 34.5621 3.1101
-50000.00 1280.00 1483.5866  1033.5089 34.5632 3.0846
-50000.00 1290.00 1483.6488  1033.5591 34.5643 3.0592
-50000.00 1300.00 1483.7110  1033.6094 34.5654 3.0337
-50000.00 1310.00 1483.7794  1033.6594 34.5665 3.0097
-50000.00 1320.00 1483.8579  1033.7092 34.5676 2.9881
-50000.00 1330.00 1483.9364  1033.7589 34.5687 2.9665
-50000.00 1340.00 1484.0150  1033.8086 34.5698 2.9449
-50000.00 1350.00 1484.0935  1033.8583 34.5709 2.9232
-50000.00 1360.00 1484.1720  1033.9081 34.5720 2.9016
-50000.00 1370.00 1484.2505  1033.9578 34.5731 2.8800
-50000.00 1380.00 1484.3290  1034.0075 34.5742 2.8584
-50000.00 1390.00 1484.4075  1034.0572 34.5754 2.8367
-50000.00 1400.00 1484.4860  1034.1070 34.5765 2.8151
-50000.00 1410.00 1484.5657  1034.1567 34.5776 2.7938
-50000.00 1420.00 1484.6570  1034.2060 34.5787 2.7751
-50000.00 1430.00 1484.7484  1034.2553 34.5798 2.7565
-50000.00 1440.00 1484.8398  1034.3047 34.5809 2.7378
-50000.00 1450.00 1484.9311  1034.3540 34.5820 2.7192
-50000.00 1460.00 1485.0225  1034.4033 34.5831 2.7005
-50000.00 1470.00 1485.1139  1034.4527 34.5843 2.6818
-50000.00 1480.00 1485.2052  1034.5020 34.5854 2.6632
-50000.00 1490.00 1485.2966  1034.5513 34.5865 2.6445
-50000.00 1500.00 1485.3880  1034.6007 34.5876 2.6259
-50000.00 1510.00 1485.4793  1034.6500 34.5887 2.6072
-50000.00 1520.00 1485.5741  1034.6992 34.5898 2.5894
-50000.00 1530.00 1485.6772  1034.7481 34.5909 2.5734
-50000.00 1540.00 1485.7804  1034.7970 34.5920 2.5575
-50000.00 1550.00 1485.8835  1034.8460 34.5931 2.5415
-50000.00 1560.00 1485.9866  1034.8949 34.5941 2.5255
-50000.00 1570.00 1486.0898  1034.9438 34.5952 2.5096
-50000.00 1580.00 1486.1929  1034.9927 34.5963 2.4936
-50000.00 1590.00 1486.2960  1035.0416 34.5974 2.4777
-50000.00 1600.00 1486.3992  1035.0905 34.5985 2.4617
-50000.00 1610.00 1486.5023  1035.1394 34.5995 2.4458
-50000.00 1620.00 1486.6054  1035.1883 34.6006 2.4298
-50000.00 1630.00 1486.7085  1035.2373 34.6017 2.4138
-50000.00 1640.00 1486.8190  1035.2859 34.6027 2.3996
-50000.00 1650.00 1486.9348  1035.3343 34.6037 2.3865
-50000.00 1660.00 1487.0505  1035.3827 34.6046 2.3734
-50000.00 1670.00 1487.1663  1035.4311 34.6055 2.3603
-50000.00 1680.00 1487.2821  1035.4795 34.6065 2.3472
-50000.00 1690.00 1487.3978  1035.5279 34.6074 2.3341
-50000.00 1700.00 1487.5136  1035.5763 34.6084 2.3210
-50000.00 1710.00 1487.6293  1035.6247 34.6093 2.3079
-50000.00 1720.00 1487.7451  1035.6731 34.6103 2.2948
-50000.00 1730.00 1487.8608  1035.7215 34.6112 2.2817
-50000.00 1740.00 1487.9766  1035.7699 34.6122 2.2686
