-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 970.00 1484.0448  1031.8637 34.5227 4.4518
-50000.00 980.00 1484.0338  1031.9165 34.5238 4.4081
-50000.00 990.00 1484.0229  1031.9692 34.5250 4.3644
-50000.00 1000.00 1484.0120  1032.0220 34.5261 4.3207
-50000.00 1010.00 1484.0080  1032.0746 34.5272 4.2787
-50000.00 1020.00 1484.0215  1032.1266 34.5286 4.2411
-50000.00 1030.00 1484.0350  1032.1787 34.5299 4.2035
-50000.00 1040.00 1484.0485  1032.2308 34.5313 4.1659
-50000.00 1050.00 1484.0620  1032.2828 34.5326 4.1283
-50000.00 1060.00 1484.0755  1032.3349 34.5340 4.0908
-50000.00 1070.00 1484.0890  1032.3870 34.5353 4.0532
-50000.00 1080.00 1484.1025  1032.4391 34.5367 4.0156
-50000.00 1090.00 1484.1160  1032.4911 34.5380 3.9780
-50000.00 1100.00 1484.1296  1032.5432 34.5394 3.9404
-50000.00 1110.00 1484.1512  1032.5950 34.5408 3.9048
-50000.00 1120.00 1484.1845  1032.6464 34.5422 3.8721
-50000.00 1130.00 1484.2178  1032.6979 34.5436 3.8395
-50000.00 1140.00 1484.2511  1032.7493 34.5450 3.8068
-50000.00 1150.00 1484.2845  1032.8007 34.5464 3.7741
-50000.00 1160.00 1484.3178  1032.8521 34.5478 3.7414
-50000.00 1170.00 1484.3511  1032.9036 34.5492 3.7088
-50000.00 1180.00 1484.3844  1032.9550 34.5506 3.6761
-50000.00 1190.00 1484.4178  1033.0064 34.5520 3.6434
-50000.00 1200.00 1484.4511  1033.0579 34.5534 3.6107
-50000.00 1210.00 1484.4914  1033.1090 34.5548 3.5798
-50000.00 1220.00 1484.5405  1033.1599 34.5562 3.5510
-50000.00 1230.00 1484.5895  1033.2108 34.5575 3.5222
-50000.00 1240.00 1484.6385  1033.2616 34.5589 3.4934
-50000.00 1250.00 1484.6876  1033.3125 34.5603 3.4646
-50000.00 1260.00 1484.7366  1033.3634 34.5616 3.4358
-50000.00 1270.00 1484.7857  1033.4142 34.5630 3.4070
-50000.00 1280.00 1484.8347  1033.4651 34.5643 3.3781
-50000.00 1290.00 1484.8837  1033.5159 34.5657 3.3493
-50000.00 1300.00 1484.9328  1033.5668 34.5671 3.3205
-50000.00 1310.00 1484.9865  1033.6175 34.5684 3.2929
-50000.00 1320.00 1485.0479  1033.6679 34.5697 3.2671
-50000.00 1330.00 1485.1093  1033.7183 34.5710 3.2413
-50000.00 1340.00 1485.1707  1033.7687 34.5723 3.2155
-50000.00 1350.00 1485.2321  1033.8191 34.5736 3.1897
-50000.00 1360.00 1485.2936  1033.8694 34.5749 3.1639
-50000.00 1370.00 1485.3550  1033.9198 34.5761 3.1381
-50000.00 1380.00 1485.4164  1033.9702 34.5774 3.1123
-50000.00 1390.00 1485.4778  1034.0206 34.5787 3.0866
-50000.00 1400.00 1485.5392  1034.0710 34.5800 3.0608
-50000.00 1410.00 1485.6015  1034.1214 34.5813 3.0352
-50000.00 1420.00 1485.6734  1034.1713 34.5825 3.0119
-50000.00 1430.00 1485.7454  1034.2213 34.5837 2.9887
-50000.00 1440.00 1485.8173  1034.2713 34.5849 2.9654
-50000.00 1450.00 1485.8893  1034.3213 34.5862 2.9422
-50000.00 1460.00 1485.9612  1034.3713 34.5874 2.9189
-50000.00 1470.00 1486.0332  1034.4212 34.5886 2.8957
-50000.00 1480.00 1486.1051  1034.4712 34.5898 2.8724
-50000.00 1490.00 1486.1771  1034.5212 34.5910 2.8492
-50000.00 1500.00 1486.2490  1034.5712 34.5923 2.8259
-50000.00 1510.00 1486.3210  1034.6212 34.5935 2.8026
-50000.00 1520.00 1486.3961  1034.6710 34.5947 2.7801
-50000.00 1530.00 1486.4789  1034.7206 34.5958 2.7594
-50000.00 1540.00 1486.5617  1034.7701 34.5970 2.7387
-50000.00 1550.00 1486.6444  1034.8197 34.5982 2.7180
-50000.00 1560.00 1486.7272  1034.8693 34.5993 2.6973
-50000.00 1570.00 1486.8100  1034.9188 34.6005 2.6766
-50000.00 1580.00 1486.8928  1034.9684 34.6016 2.6559
-50000.00 1590.00 1486.9756  1035.0180 34.6028 2.6352
-50000.00 1600.00 1487.0584  1035.0676 34.6040 2.6145
-50000.00 1610.00 1487.1411  1035.1171 34.6051 2.5938
-50000.00 1620.00 1487.2239  1035.1667 34.6063 2.5731
-50000.00 1630.00 1487.3067  1035.2163 34.6075 2.5524
-50000.00 1640.00 1487.3976  1035.2655 34.6086 2.5336
-50000.00 1650.00 1487.4944  1035.3146 34.6096 2.5161
-50000.00 1660.00 1487.5912  1035.3636 34.6107 2.4986
-50000.00 1670.00 1487.6880  1035.4127 34.6118 2.4811
-50000.00 1680.00 1487.7847  1035.4618 34.6129 2.4636
-50000.00 1690.00 1487.8815  1035.5108 34.6139 2.4461
-50000.00 1700.00 1487.9783  1035.5599 34.6150 2.4287
-50000.00 1710.00 1488.0750  1035.6089 34.6161 2.4112
